country,Code,population,Class,Category,HDI (2018),IHDI (2018),Gini Coefficient(%),Year and survey,Population in Multidimensional poverty (%),Population Vulnerable to Multidimensional poverty (%),Last CPI,Previous CPI,Reference last CPI,last_percent_change_CPI,HAQ_Index,Year_HAQ,"('thousands', 'Accommodation and food service activities')","('thousands', 'Agriculture, Forestry and Fishing')","('thousands', 'Construction')","('thousands', 'Education')","('thousands', 'Finantial and insurance activities')","('thousands', 'Human health and social work activities')","('thousands', 'Manufacturing')","('thousands', 'Mining and Quarrying')","('thousands', 'Other services')","('thousands', 'Public administration and defense; Compulsory social security')","('thousands', 'Real state; Business and administrative activities')","('thousands', 'Total')","('thousands', 'Transport; Storage and Communication')","('thousands', 'Utilities')","('thousands', 'Wholesale and retail trade; repair of motor vehicles')",High impacted sectors (thousands),Medium-high impacted sectors (thousands),Medium impacted sectors (thousands),Low-medium impacted sectors (thousands),Low impacted sectors (thousands),"('percent', 'Accommodation and food service activities')","('percent', 'Agriculture, Forestry and Fishing')","('percent', 'Construction')","('percent', 'Education')","('percent', 'Finantial and insurance activities')","('percent', 'Human health and social work activities')","('percent', 'Manufacturing')","('percent', 'Mining and Quarrying')","('percent', 'Other services')","('percent', 'Public administration and defense; Compulsory social security')","('percent', 'Real state; Business and administrative activities')","('percent', 'Total')","('percent', 'Transport; Storage and Communication')","('percent', 'Utilities')","('percent', 'Wholesale and retail trade; repair of motor vehicles')",Normalized_Confirmed,High impacted sectors (percent),Medium-high impacted sectors (percent),Medium impacted sectors (percent),Low-medium impacted sectors (percent),Low impacted sectors (percent),S1_SIX,S2_SIX,S3_SIX,S4_SIX,S5_SIX,S6_SIX,S7_SIX,S_1,S_10,S_11,S_12,S_13,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,StringencyIx,date_last_stringency,informality_rate,year,countrydesc,cip_2017,cipRank_2017
China,CHN,1390000000.0,Upper_Middle_Income,high human development,0.757587,0.635627202,38.6,2014 N,3.862135,17.14083,104.0,105.0,2020-03-01,-0.95238,74.2,2015.0,42933.67,188957.4,53318.69,36331.92,10936.05,18327.52,154576.7,2628.626,35715.34,42843.91,25129.87,764125.5,36768.96,4831.787,110825.1,333465.3,72484.3,66883.36,188957.4,102335.1,0.056187,0.247286,0.069777,0.047547,0.014312,0.023985,0.202292,0.00344,0.04674,0.056069,0.032887,1.0,0.048119,0.006323,0.145035,60.4,0.436401,0.094859,0.087529,0.247286,0.133925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,3.85,57.14,2020-04-23,,2017.0,China,0.368738646,3.0
Colombia,COL,49648685.0,Upper_Middle_Income,high human development,0.760895,0.584781842,49.7,2015/2016 D,4.84625,6.230287,106.0,105.0,2020-03-01,0.952381,67.8,2015.0,1682.047,4049.785,1571.1,1001.747,331.642,1078.144,3003.312,211.79,1953.474,755.688,2005.682,24614.01,1998.332,141.364,4829.9,11520.94,3951.806,2114.532,4049.785,2976.943,0.068337,0.164532,0.06383,0.040698,0.013474,0.043802,0.122016,0.008604,0.079364,0.030702,0.081485,1.0,0.081187,0.005743,0.196226,87.74,0.468064,0.160551,0.085908,0.164532,0.120945,100.0,100.0,100.0,66.67,0.0,100.0,66.67,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,7430000000.0,3.75,80.95,2020-04-23,47.3,2017.0,Colombia,0.035233818,70.0
Comoros,COM,,,low human development,0.537826,0.294290071,45.3,2012 D,37.26492,22.25341,,,,,47.7,2015.0,3.61,109.897,13.837,5.6,1.018,2.423,13.837,0.727,19.473,3.275,3.564,220.073,8.681,0.309,33.821,54.832,28.154,15.582,109.897,11.607,0.016404,0.499366,0.062875,0.025446,0.004626,0.01101,0.062875,0.003303,0.088484,0.014881,0.016195,1.0,0.039446,0.001404,0.153681,,0.249154,0.12793,0.070804,0.499366,0.052742,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,COG,,,medium human development,0.6085,0.456124972,48.9,2014/2015 M,24.26683,21.30539,105.0,104.0,2020-01-01,0.961538,43.5,2015.0,66.201,688.234,78.109,55.255,16.663,23.903,338.609,21.265,101.689,43.152,58.417,2037.641,108.277,5.12,432.747,895.974,209.966,116.037,688.234,127.43,0.032489,0.33776,0.038333,0.027117,0.008178,0.011731,0.166177,0.010436,0.049905,0.021177,0.028669,1.0,0.053138,0.002513,0.212376,,0.439711,0.103044,0.056947,0.33776,0.062538,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo (Democratic Republic of the),,,,low human development,0.45873,0.316302663,42.1,2013/2014 D,74.04717,16.80919,,,,,,,233.224,19137.96,174.857,1042.044,49.756,335.136,1066.877,1589.802,536.023,583.982,102.095,29386.48,480.551,40.948,4013.225,5415.421,1016.574,1814.415,19137.96,2002.11,0.007936,0.65125,0.00595,0.03546,0.001693,0.011404,0.036305,0.0541,0.01824,0.019872,0.003474,1.0,0.016353,0.001393,0.136567,,0.184283,0.034593,0.061743,0.65125,0.06813,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Congo (Democratic Republic of the),0.010461605,104.0
Costa Rica,CRI,4999441.0,Upper_Middle_Income,high human development,0.79352,0.644989022,48.3,,,,106.0,107.0,2020-03-01,-0.93458,72.9,2015.0,140.739,259.354,152.979,148.573,54.429,87.085,242.631,2.029,274.169,87.147,165.677,2181.068,157.698,33.963,374.594,923.641,431.867,209.437,259.354,356.768,0.064528,0.118911,0.070139,0.068119,0.024955,0.039928,0.111244,0.00093,0.125704,0.039956,0.075961,1.0,0.072303,0.015572,0.171748,136.22,0.423481,0.198007,0.096025,0.118911,0.163575,100.0,100.0,100.0,0.0,100.0,100.0,66.67,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,1.25,85.71,2020-04-23,40.7,2017.0,Costa Rica,0.038183858,65.0
Croatia,HRV,4087843.0,High_Income,very high human development,0.837313,0.76798302,31.1,,,,102.0,102.0,2020-03-01,0.0,81.6,2015.0,123.071,95.532,117.172,132.897,44.639,108.79,287.155,5.652,70.809,109.675,128.832,1660.931,168.259,46.328,222.119,761.177,239.068,167.463,95.532,397.69,0.074098,0.057517,0.070546,0.080014,0.026876,0.065499,0.172888,0.003403,0.042632,0.066032,0.077566,1.0,0.101304,0.027893,0.133732,477.02,0.458283,0.143936,0.100825,0.057517,0.239438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,3.0,100.0,2020-04-23,,2017.0,Croatia,0.055027524,54.0
Cuba,CUB,11338138.0,Upper_Middle_Income,high human development,0.777715,,,,,,,,,,73.5,2015.0,254.748,865.755,297.302,611.629,42.28,576.936,417.876,25.702,413.592,460.966,214.111,5007.003,276.156,100.61,449.339,1336.074,689.748,365.284,865.755,1750.141,0.050878,0.172909,0.059377,0.122155,0.008444,0.115226,0.083458,0.005133,0.082603,0.092064,0.042762,1.0,0.055154,0.020094,0.089742,104.87,0.266841,0.137757,0.072955,0.172909,0.349539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,95.24,2020-04-23,,,,,
Cyprus,CYP,1189265.0,High_Income,very high human development,0.872955,0.787848922,34.0,,,,101.0,101.0,2020-03-01,0.0,85.3,2015.0,52.631,11.645,49.548,42.687,30.749,29.357,37.976,0.666,50.314,50.273,69.595,587.311,46.133,7.43,108.305,268.507,96.447,80.963,11.645,129.747,0.089614,0.019828,0.084364,0.072682,0.052356,0.049985,0.064661,0.001134,0.085668,0.085599,0.118498,1.0,0.07855,0.012651,0.184408,664.28,0.45718,0.164218,0.137854,0.019828,0.220917,100.0,66.67,100.0,33.33,0.0,100.0,66.67,2.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,4.45,85.71,2020-04-23,,2017.0,Cyprus,0.016543501999999998,92.0
Czechia,,,,very high human development,0.890755,0.849874673,25.9,,,,111.0,111.0,2020-03-01,0.0,,,191.391,140.728,382.667,356.357,120.495,378.169,1456.451,32.235,237.282,344.696,462.273,5339.028,513.28,110.92,612.084,2722.199,750.562,535.397,140.728,1190.142,0.035848,0.026358,0.071674,0.066746,0.022569,0.070831,0.272793,0.006038,0.044443,0.064562,0.086584,1.0,0.096137,0.020775,0.114643,,0.509868,0.14058,0.10028,0.026358,0.222914,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Czechia,0.215307633,15.0
Côte d'Ivoire,,,,low human development,0.515747,0.331347064,41.5,2016 M,46.06749,17.57229,,,,,,,404.818,3331.716,260.438,280.116,50.99,114.783,826.805,33.512,420.394,66.743,233.67,8484.872,485.826,20.097,1954.964,3420.257,906.22,344.94,3331.716,481.739,0.047711,0.392665,0.030694,0.033014,0.00601,0.013528,0.097445,0.00395,0.049546,0.007866,0.02754,1.0,0.057258,0.002369,0.230406,,0.403101,0.106804,0.040654,0.392665,0.056776,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Côte d'Ivoire,0.014946953,96.0
Denmark,DNK,5793636.0,High_Income,very high human development,0.929946,0.873394206,28.2,,,,103.0,104.0,2020-03-01,-0.96154,85.7,2015.0,123.46,60.829,176.395,254.187,75.475,525.116,314.893,4.281,141.988,139.255,334.707,2866.394,241.835,27.958,446.014,1219.074,383.823,256.151,60.829,946.516,0.043072,0.021221,0.061539,0.088678,0.026331,0.183197,0.109857,0.001494,0.049535,0.048582,0.116769,1.0,0.084369,0.009754,0.155601,1365.64,0.425299,0.133904,0.089363,0.021221,0.330211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2175900.0,-0.6,95.24,2020-04-23,,2017.0,Denmark,0.17540847899999998,20.0
Djibouti,DJI,958920.0,Lower_Middle_Income,low human development,0.495433,,41.6,,,,110.0,110.0,2019-12-01,0.0,44.7,2015.0,12.746,122.969,14.741,16.513,4.157,7.277,29.849,3.103,31.094,14.165,10.63,379.584,22.533,2.649,87.157,140.382,53.627,22.001,122.969,40.604,0.033579,0.323957,0.038835,0.043503,0.010951,0.019171,0.078636,0.008175,0.081916,0.037317,0.028004,1.0,0.059362,0.006979,0.229612,1015.73,0.369831,0.141278,0.057961,0.323957,0.10697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,11.2,85.71,2020-04-23,,,,,
Dominica,DMA,71625.0,Other,high human development,0.723788,,,,,,,,,,58.1,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.39,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,-0.75,78.57,2020-04-23,,,,,
Dominican Republic,DOM,10627165.0,Upper_Middle_Income,high human development,0.744641,0.584289699,45.7,2014 M,3.88005,5.188273,135.0,135.0,2020-02-01,0.0,62.5,2015.0,373.879,420.707,396.205,303.683,104.648,184.77,470.493,8.6,748.349,234.388,196.555,4767.514,366.327,73.727,885.182,1926.109,1114.676,509.453,420.707,796.568,0.078422,0.088245,0.083105,0.063698,0.02195,0.038756,0.098687,0.001804,0.156968,0.049164,0.041228,1.0,0.076838,0.015464,0.18567,498.72,0.404007,0.233807,0.106859,0.088245,0.167082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,3.5,85.71,2020-04-23,49.5,,,,
Ecuador,ECU,17084357.0,Upper_Middle_Income,high human development,0.757916,0.606951019,44.7,2013/2014 N,4.489172,7.548791,106.0,105.0,2020-03-01,0.952381,61.2,2015.0,542.985,2453.1,535.24,317.567,57.258,212.717,892.718,40.894,498.709,288.88,415.033,8347.823,555.477,46.503,1490.742,3341.478,1054.186,633.392,2453.1,865.667,0.065045,0.293861,0.064117,0.038042,0.006859,0.025482,0.10694,0.004899,0.059741,0.034605,0.049718,1.0,0.066542,0.005571,0.178579,635.08,0.400281,0.126283,0.075875,0.293861,0.1037,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,464000000.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,50114000.0,0.0,100.0,2020-04-23,31.5,2017.0,Ecuador,0.01931744,91.0
Egypt,EGY,98423595.0,Lower_Middle_Income,high human development,0.699727,0.491805387,31.8,2014 D,5.164427,6.065509,106.0,106.0,2020-03-01,0.0,61.0,2015.0,815.706,6579.772,3933.353,2217.861,187.37,831.255,3559.84,40.923,1154.249,1663.065,733.956,28256.93,2471.659,424.068,3643.855,8753.357,3625.908,4161.646,6579.772,5136.249,0.028867,0.232855,0.1392,0.078489,0.006631,0.029418,0.125981,0.001448,0.040848,0.058855,0.025974,1.0,0.087471,0.015008,0.128954,35.46,0.309777,0.128319,0.147279,0.232855,0.18177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,241000000.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1270000000.0,9.25,100.0,2020-04-23,51.2,2017.0,Egypt,0.033848996,71.0
El Salvador,SLV,6420744.0,Lower_Middle_Income,medium human development,0.666681,0.520600814,38.0,2014 M,7.860886,9.890735,112.0,112.0,2020-03-01,0.0,64.4,2015.0,238.226,431.898,175.069,84.361,34.051,69.012,395.892,1.177,260.147,107.612,133.556,2702.228,133.183,23.891,614.153,1381.827,393.33,210.297,431.898,284.876,0.088159,0.15983,0.064787,0.031219,0.012601,0.025539,0.146506,0.000436,0.096271,0.039823,0.049424,1.0,0.049286,0.008841,0.227277,36.91,0.511366,0.145558,0.077824,0.15983,0.105423,100.0,100.0,100.0,0.0,100.0,100.0,66.67,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,85.71,2020-04-23,21.6,2017.0,El Salvador,0.029453437000000002,75.0
Equatorial Guinea,GNQ,,,medium human development,0.588422,,,,,,,,,,48.4,2015.0,11.122,219.664,37.757,20.448,5.086,13.754,50.599,5.107,29.568,17.833,21.927,516.711,19.018,2.374,62.456,146.104,48.586,47.95,219.664,54.409,0.021525,0.42512,0.073072,0.039573,0.009843,0.026618,0.097925,0.009884,0.057223,0.034513,0.042436,1.0,0.036806,0.004594,0.120872,,0.282758,0.094029,0.092798,0.42512,0.105299,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,,,low human development,0.43358,,,,,,,,,,38.1,2015.0,23.128,942.771,38.401,33.02,6.13,14.345,79.31,9.515,96.329,22.503,20.781,1550.174,38.049,3.797,222.096,345.315,134.378,54.046,942.771,73.665,0.01492,0.608171,0.024772,0.021301,0.003954,0.009254,0.051162,0.006138,0.062141,0.014516,0.013406,1.0,0.024545,0.002449,0.143272,,0.222759,0.086686,0.034864,0.608171,0.04752,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Eritrea,0.0,149.0
Estonia,EST,1321977.0,High_Income,very high human development,0.881542,0.817683834,32.7,,,,213.0,214.0,2020-03-01,-0.46729,81.4,2015.0,29.041,20.386,58.068,61.265,12.699,40.84,121.834,4.661,34.158,36.808,67.465,663.18,81.592,10.152,84.211,302.551,115.75,75.428,20.386,149.065,0.043791,0.03074,0.08756,0.092381,0.019149,0.061582,0.183712,0.007028,0.051506,0.055502,0.10173,1.0,0.123031,0.015308,0.126981,1179.29,0.456212,0.174538,0.113737,0.03074,0.224773,100.0,0.0,100.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,76.19,2020-04-23,,2017.0,Estonia,0.063294221,48.0
Eswatini (Kingdom of),,,,medium human development,0.608082,0.42975529,51.5,2014 M,19.21377,20.85313,,,,,,,7.865,36.623,20.157,23.12,2.751,15.004,46.022,1.453,30.62,18.652,21.582,298.199,15.941,2.557,55.85,131.319,46.561,24.361,36.623,59.333,0.026375,0.122814,0.067596,0.077532,0.009225,0.050315,0.154333,0.004873,0.102683,0.062549,0.072374,1.0,0.053458,0.008575,0.187291,,0.440374,0.156141,0.081694,0.122814,0.198971,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,112000000.0,Low_Income,low human development,0.46985,0.336584622,39.1,2016 D,83.50384,8.882096,164.0,160.0,2020-03-01,2.5,44.2,2015.0,826.505,35333.87,1993.396,1245.76,252.353,435.341,2935.887,326.343,4746.047,408.606,718.659,53849.06,711.303,317.862,3597.118,8078.169,5457.35,2572.092,35333.87,2407.569,0.015349,0.656165,0.037018,0.023134,0.004686,0.008084,0.054521,0.00606,0.088136,0.007588,0.013346,1.0,0.013209,0.005903,0.0668,1.03,0.150015,0.101345,0.047765,0.656165,0.04471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,80.95,2020-04-23,,2017.0,Ethiopia,0.001636735,141.0
Fiji,FJI,,,high human development,0.723699,,36.7,,,,113.0,113.0,2020-03-01,0.0,46.6,2015.0,24.067,125.539,17.765,15.631,5.087,3.935,23.589,1.903,20.859,21.672,17.24,351.466,25.64,3.531,45.009,109.905,46.499,24.755,125.539,44.769,0.068476,0.357187,0.050545,0.044474,0.014474,0.011196,0.067116,0.005414,0.059349,0.061662,0.049052,1.0,0.072952,0.010046,0.128061,,0.312705,0.1323,0.070434,0.357187,0.127378,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Fiji,0.009152883,114.0
Finland,FIN,5515525.0,High_Income,very high human development,0.925192,0.876042861,27.1,,,,104.0,104.0,2020-03-01,0.0,89.6,2015.0,87.982,89.956,200.563,187.117,50.475,427.558,332.145,6.225,153.412,116.854,328.389,2561.057,264.042,24.954,291.385,1039.901,417.454,257.263,89.956,756.483,0.034354,0.035125,0.078313,0.073062,0.019709,0.166946,0.129691,0.002431,0.059902,0.045627,0.128224,1.0,0.103099,0.009744,0.113775,748.61,0.406044,0.163001,0.100452,0.035125,0.295379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,90.48,2020-04-23,,2017.0,Finland,0.148130388,25.0
France,FRA,66977107.0,High_Income,very high human development,0.891057,0.809037319,32.7,,,,105.0,105.0,2020-03-01,0.0,87.9,2015.0,1126.031,662.345,1874.53,2034.424,911.592,4189.89,3199.285,20.052,1622.608,2542.931,3268.968,27835.0,2400.582,443.098,3538.661,11132.95,4023.19,2806.174,662.345,9210.343,0.040454,0.023795,0.067344,0.073089,0.03275,0.150526,0.114938,0.00072,0.058294,0.091357,0.117441,1.0,0.086243,0.015919,0.12713,1778.98,0.399962,0.144537,0.100815,0.023795,0.330891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,100.0,2020-04-23,,2017.0,France,0.260481905,11.0
Gabon,GAB,2119275.0,Upper_Middle_Income,high human development,0.701625,0.543733381,38.0,2012 D,14.84845,17.50426,101.0,101.0,2020-02-01,0.0,51.4,2015.0,18.175,191.539,2.271,32.115,9.288,19.763,7.618,37.904,46.381,27.399,34.519,591.916,33.892,15.998,115.054,175.366,80.273,49.463,191.539,95.275,0.030705,0.323592,0.003837,0.054256,0.015691,0.033388,0.01287,0.064036,0.078357,0.046289,0.058317,1.0,0.057258,0.027027,0.194376,78.33,0.296268,0.135616,0.083564,0.323592,0.16096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2000000.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,28000000.0,5.0,85.71,2020-04-23,,2017.0,Gabon,0.009245098,113.0
Gambia,GMB,2280102.0,Low_Income,low human development,0.465725,0.292687055,35.9,2013 D,55.23749,21.76278,100.0,227.0,2020-01-01,-55.9471,49.7,2015.0,13.14,194.806,47.124,21.923,2.813,5.862,64.611,1.587,45.766,14.532,42.38,733.222,42.51,2.315,233.854,353.985,88.276,51.524,194.806,44.632,0.017921,0.265685,0.06427,0.0299,0.003836,0.007995,0.088119,0.002164,0.062418,0.019819,0.0578,1.0,0.057977,0.003157,0.31894,4.39,0.48278,0.120395,0.070271,0.265685,0.060871,100.0,100.0,100.0,0.0,0.0,0.0,33.33,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,12.0,69.05,2020-04-23,,2017.0,Gambia,0.00037196099999999997,147.0
Georgia,GEO,,,high human development,0.786359,0.6918007,37.9,,,,140.0,139.0,2020-03-01,0.719424,62.1,2015.0,43.436,765.39,102.345,170.689,34.673,75.372,116.223,11.857,68.65,93.605,51.825,1853.629,103.005,33.284,183.274,394.758,171.655,148.875,765.39,372.95,0.023433,0.412914,0.055213,0.092084,0.018705,0.040662,0.0627,0.006397,0.037035,0.050498,0.027959,1.0,0.055569,0.017956,0.098873,,0.212965,0.092605,0.080315,0.412914,0.2012,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Georgia,0.015390599,94.0
Germany,DEU,82905782.0,High_Income,very high human development,0.938785,0.860675658,31.7,,,,106.0,106.0,2020-03-01,0.0,86.4,2015.0,1618.791,496.635,2815.492,2889.93,1260.366,5637.808,7908.217,70.01,2012.345,2914.003,4876.243,42490.59,3551.097,584.8,5854.849,20258.1,5563.442,4145.868,496.635,12026.54,0.038098,0.011688,0.066262,0.068013,0.029662,0.132684,0.186117,0.001648,0.04736,0.06858,0.114761,1.0,0.083574,0.013763,0.137792,1785.71,0.476767,0.130934,0.097571,0.011688,0.28304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,80.95,2020-04-23,,2017.0,Germany,0.5146435070000001,1.0
Ghana,GHA,29767108.0,Lower_Middle_Income,medium human development,0.59567,0.427017515,43.5,2014 D,30.0741,22.01997,113.0,112.0,2020-03-01,0.892857,49.7,2015.0,622.994,3593.466,461.954,891.084,104.517,420.999,2177.352,109.785,713.356,309.271,326.896,12626.15,418.366,51.982,2424.13,5551.372,1131.722,676.256,3593.466,1673.336,0.049342,0.284605,0.036587,0.070574,0.008278,0.033343,0.172448,0.008695,0.056498,0.024494,0.02589,1.0,0.033135,0.004117,0.191993,38.77,0.439673,0.089633,0.05356,0.284605,0.132529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,14.0,85.71,2020-04-23,,2017.0,Ghana,0.005819539,123.0
Greece,GRC,10731726.0,High_Income,very high human development,0.871952,0.765942714,36.0,,,,107.0,105.0,2020-03-01,1.904762,87.0,2015.0,379.115,457.769,154.246,311.525,88.304,253.95,363.045,10.907,168.73,342.289,325.021,3910.118,291.926,64.962,698.331,1765.512,460.656,253.457,457.769,972.726,0.096957,0.117073,0.039448,0.079672,0.022583,0.064947,0.092848,0.002789,0.043152,0.087539,0.083123,1.0,0.074659,0.016614,0.178596,224.38,0.451524,0.117811,0.064821,0.117073,0.248772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,76.19,2020-04-23,2.1,2017.0,Greece,0.060842402000000004,50.0
Grenada,GRD,,,high human development,0.763383,,,,,,,,,,58.3,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,17247807.0,Lower_Middle_Income,medium human development,0.651035,0.47233194,48.3,2014/2015 D,28.88183,21.08765,142.0,141.0,2020-03-01,0.70922,55.7,2015.0,353.89,2272.631,403.968,302.248,75.884,129.792,894.942,16.047,481.225,192.775,280.821,7263.253,297.728,22.725,1538.579,3068.232,778.953,495.899,2272.631,647.54,0.048723,0.312894,0.055618,0.041613,0.010448,0.01787,0.123215,0.002209,0.066255,0.026541,0.038663,1.0,0.040991,0.003129,0.211831,19.83,0.422432,0.107246,0.068275,0.312894,0.089153,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,55252918.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,100.0,2020-04-23,66.8,2017.0,Guatemala,0.029382959,76.0
Guinea,GIN,,,low human development,0.465515,0.309818686,33.7,2016 M,61.86278,17.15069,1121.0,1121.0,2020-02-01,0.0,38.6,2015.0,103.138,2700.036,114.932,40.858,25.296,16.652,119.192,35.731,92.927,23.795,85.242,4408.125,133.003,3.93,913.394,1220.966,225.93,175.959,2700.036,85.235,0.023397,0.612513,0.026073,0.009269,0.005738,0.003778,0.027039,0.008106,0.021081,0.005398,0.019337,1.0,0.030172,0.000892,0.207207,,0.276981,0.051253,0.039917,0.612513,0.019336,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,,,low human development,0.461406,0.288410059,50.7,2014 M,67.29367,19.17879,,,,,36.3,2015.0,11.264,543.935,14.223,15.336,2.542,6.38,37.117,3.326,31.086,9.702,8.339,802.333,14.234,1.651,103.198,159.918,45.32,20.091,543.935,33.069,0.014039,0.677942,0.017727,0.019114,0.003168,0.007952,0.046261,0.004145,0.038745,0.012092,0.010393,1.0,0.017741,0.002058,0.128622,,0.199316,0.056485,0.025041,0.677942,0.041216,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,779004.0,Lower_Middle_Income,medium human development,0.670296,0.5464356,,2014 M,3.366235,5.844307,120.0,120.0,2019-12-01,0.0,49.8,2015.0,15.433,47.345,24.924,16.129,3.295,7.967,20.524,13.658,16.428,24.648,13.844,281.708,22.726,5.36,49.429,99.23,39.154,41.877,47.345,54.104,0.054784,0.168064,0.088475,0.057254,0.011697,0.028281,0.072856,0.048483,0.058316,0.087495,0.049143,1.0,0.080672,0.019027,0.175462,86.01,0.352244,0.138988,0.148654,0.168064,0.192057,0.0,100.0,100.0,0.0,0.0,100.0,66.67,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,120000000.0,5.0,85.71,2020-04-23,,,,,
Haiti,HTI,,,low human development,0.502731,0.29908718,41.1,2016/2017 D,41.2689,21.84815,126.0,122.0,2019-08-01,3.278689,38.5,2015.0,34.782,1264.516,208.45,144.56,22.922,59.685,54.407,14.314,1256.264,50.198,69.111,4464.668,157.839,19.373,1108.247,1266.547,1414.103,245.686,1264.516,273.816,0.007791,0.283227,0.046689,0.032379,0.005134,0.013368,0.012186,0.003206,0.281379,0.011243,0.01548,1.0,0.035353,0.004339,0.248226,,0.283682,0.316732,0.055029,0.283227,0.06133,,,,,,,,,,,,,,,,,,,,,,,,2017.0,Haiti,0.0028101740000000004,137.0
