,username,text,retweets,favorites,replies,tweet_id,user_id,date,hashtags,mentions,tweet_location,user_location,city,state,country
1153,prabhu2win,sumanthraman thenewsminute chennaicorp can someone explain this pass request days my inlaws want to come to chennai from thiruvarur as their daughter be in due for delivery timesofindia chennaitimestoi chennaipolice_,0,0,1,1262311973905027073,71997531,2020-05-18 09:20:01+00:00,,@sumanthraman @thenewsminute @chennaicorp @timesofindia @ChennaiTimesTOI @chennaipolice_,,"Chennai, India",சென்னை - Chennai,Tamil Nadu,India
1169,saffornita,tru kai bar domestic violence case mei ya kisi ladki k sath koi crime hua hai usme kai baar aurtey bhi shamil hoti hai unka pura haath hota hai sirf female bol kar victim card khel kar unko free nhi kar saktey farzi feminists hi aise criminal aurto ko bachati hai,0,4,0,1262939061192286208,1029432594746753025,2020-05-20 02:51:51+00:00,,,,India,,Madhya Pradesh,India
1173,Shoe_tea,ramani highlight that we need to move beyond data about domestic violence and work on emergency responses let s work on it because it s happen gbvcovid,1,2,2,1263106542963961856,278124530,2020-05-20 13:57:21+00:00,#gbvcovid,,,"New Delhi, India",New Delhi,Delhi,India
1195,JackeyGiri,respect prime minister sir narendramodi please help me to save my sister from stomach cancer i m so much scar i do nt want to loose my sister i love her so much please i m beg you sir,1,0,0,1263219555813515274,1262508452800335881,2020-05-20 21:26:26+00:00,,@narendramodi,,"New Delhi, India",New Delhi,Delhi,India
1201,sharmashish93,stayhomestaysafe cybercrime fbfrad crime someone be hack fb account and ask for money this incident be happen with me my family members account be hack and ask for money mpcyberpolice cmmadhyapradesh ani abpnews pmoindia facebookapp,0,0,0,1258829308262522882,2541335094,2020-05-08 18:41:09+00:00,#StayHomeStaySafe #cybercrime #fbfrad #Crime,@mpcyberpolice @CMMadhyaPradesh @ANI @ABPNews @PMOIndia @facebookapp,,"Indore, India",Indore,Madhya Pradesh,India
1213,SathishHaridas,honble pm salute you son of bharat mata me die hard follower of you request you to extend emi moratorium for three more months ji no business job for 50 days june arrive no hope for middle class indian citizens save india nsitharaman amitshah emi extendmoratorium,15,15,1,1261853826069348352,832188153477865472,2020-05-17 02:59:30+00:00,#EMI #extendmoratorium,@nsitharaman @AmitShah,,"Rohtak, India",Rohtak,Haryana,India
1218,swarraj,nari samata manch s preeti karmarkar on the domestic violence epidemic,1,1,0,1262712805829967874,16389321,2020-05-19 11:52:47+00:00,,,,India,,Madhya Pradesh,India
1219,JYeggoni,at last justice judicial relief2small school children teachers management after humiliate experience for no offencesedition law have become obsolate it should be scrap from book as it be be abuse to intimidate amp harass people who express dissent,0,1,0,1236194193694842881,451966553,2020-03-07 07:37:17+00:00,,,,"KURNOOL,A.P.",Kurnool,Andhra Pradesh,India
1248,Monali2177,what tiktok cause people to promote on acid attack communal abuse rape threat sexual content child pornography gender change love jihad terrorism domestic violence animal kill drug amp alcohols data security threat,1,0,1,1262659412986036226,840118259303104512,2020-05-19 08:20:37+00:00,,,,"Gandhinagar, India",Gandhinagar,Gujarat,India
1253,Filmy_pathak,myogiadityanath be very insensitive i think if congress be give 100 bus if whatever you exclude half of it you still have 500 if not 500 than 250 if not 250 even 100 what s the problem in take help this be unacceptable politics migrantworkers be still walk,0,0,1,1263211516679110657,2931913940,2020-05-20 20:54:29+00:00,#Congress #MigrantWorkers,@myogiadityanath,,Mumbai,Mumbai,Maharashtra,India
1265,2saybro,china report import case of covid19 sound just like a prostitute report a case of sexual assault against her,0,1,0,1262698909337628672,822247144694288384,2020-05-19 10:57:34+00:00,,,,"Pune, India",Pune,Maharashtra,India
1277,PinjraTod,galgotiasuni stop harass students with exorbitant demand for fee in the middle of a global health crisis this be unacceptable and take no cognizance of the many difficulties students be go through stop try to profit from their misery hrdministry,35,28,13,1263064567330025472,3782810959,2020-05-20 11:10:34+00:00,,@GalgotiasUni @HRDMinistry,,"New Delhi, Delhi",New Delhi,Delhi,India
1319,ArshiyaLatheef,i agree with this caption its so dishearten to see our anu in pain everytime and evil win i doubt the makers must have write something new and sensible i hope after lockdown anu should expose torture punish slap and destroy kl this time what say faerie101,0,0,0,1262984604698329089,1223894350515490816,2020-05-20 05:52:49+00:00,,@Faerie101,,Bengaluru,Bengaluru,Karnataka,India
1335,chakravarty_sid,jpnadda ji u give a statement today that bjp be fully behind their karyakartaand suppoerter now the govt of bjp at the centre request twitter to harass amp supress the freedom of expression of your party supporters sir this be how u will stand with us kindly explain,0,0,0,1262389827254788099,1237783456140025858,2020-05-18 14:29:23+00:00,,@JPNadda,,India,,Madhya Pradesh,India
1369,krishnalubb,bully do not only affect a person physically but also lead to a traumatic experience take a toll on overall mental health mentalhealthawarenessweek2020,0,0,0,1263083893500100613,1135407376603836416,2020-05-20 12:27:21+00:00,#Bullying #MentalHealthAwarenessWeek2020,,,New Delhi,New Delhi,Delhi,India
1371,palit_arijeet,as we wipe of forest the inhabitants learn to adapt to us for the uninitiated look no further than coronavirus as a prime example hope better sense prevail with nbwl moefcc stop coal mine project right the heart dehingpatkai iamdehingpatkai savedehingpatkai,0,3,0,1263146623367958528,824233752574332929,2020-05-20 16:36:37+00:00,#coronavirus #DehingPatkai #IAMDEHINGPATKAI #SAVEDEHINGPATKAI,@moefcc,,odisha ,,Odisha,India
1375,PallaviPareek,my circle of male friends i believe your disbelief when i share the stories of violence on women and it s many facesfor you all this be so fresh while i have be expose to this for generations for you it s an incident for me and fellow comrades its just another day,0,7,2,1263155912597884933,780392587,2020-05-20 17:13:32+00:00,,,,Delhi,Delhi,Delhi,India
1400,epw_in,there be many dimension to domestic violence include the gendered division of domestic work all of which be root in the exercise of patriarchal power,8,9,0,1263214270961065986,53640157,2020-05-20 21:05:26+00:00,,,,Mumbai,Mumbai,Maharashtra,India
1401,kitabwali,3 days of horror for inlaws in northeastdelhi they have be live there for over 35 years anyone can enter our house burn it and kill us do nt feel like the city i be bear in delhiburns,0,10,0,1232685496633118720,1354125685,2020-02-26 15:14:59+00:00,#NorthEastDelhi #DelhiBurns,,,New Delhi. India,New Delhi,Delhi,India
1414,gcmishra,helpgulmohar gen_vksingh sunilsharma_bjp pl justify our pride u our elect reps seek ur help get our society hand over to us svpgroup be exploit us insecure unhygienic unsafe bldgs fall apart no fire safety unmaintained lift cmofficeup dm_ghaziabad,16,11,0,1262226303094190088,77951339,2020-05-18 03:39:36+00:00,#HelpGulmohar,@Gen_VKSingh @sunilsharma_bjp @SVPGroup @CMOfficeUP @dm_ghaziabad,,noida,Noida,Uttar Pradesh,India
1436,Aditya__Rane,after normalise terrorism acid attack spit domestic violence and rape now sullas be normalise the kill of kafirs bantiktokinindia,0,0,0,1262619550387863552,2386651838,2020-05-19 05:42:13+00:00,#BanTikTokInIndia,,,New Delhi,New Delhi,Delhi,India
1437,ShowaktM,they be us always welcome but the govt would nt have any excuse to maim torture amp kill if thu return i tell u thrice bring me one kashmiri whoz against their return,0,0,0,1262904207272816640,1249337189218967554,2020-05-20 00:33:21+00:00,,,,Srinagar Jammu and Kashmir,Srinagar,Jammu and Kashmir,India
1463,shirish_suman,ranchipolice hemantsorenjmm aj mere 55 month old son ka annaprashan muh juththi ranchi ke chutiya at inlaws place mein horaha hai aur mein delhi mein hun aur sad part hai ki mere parent and kuch kareebi relatives bua mausi tau etc bh nh aa pa rahe hain,0,0,0,1258216486880989184,155271166,2020-05-07 02:06:01+00:00,,@ranchipolice @HemantSorenJMM,,New Delhi,New Delhi,Delhi,India
1497,kafir2_0,salmanalvi2 you be too a piece of shit do we abuse ur god or religion how dare u justify this filthy dog of gandhi family arrestpankajpunia,5,5,0,1262818993661829124,724324433444233217,2020-05-19 18:54:44+00:00,#ArrestPankajPunia,@salmanalvi2,,India,,Madhya Pradesh,India
1522,mrniceguy271,this application should be ban it s a threat to our society it s promote rape acid attack sexual assault animal abuse religious hatred and what not it should be ban immediately goi_meity rsprasad hmoindia amitshah amitshahoffice pmoindia narendramodi,0,1,0,1263194624455094272,4497309374,2020-05-20 19:47:22+00:00,,@GoI_MeitY @rsprasad @HMOIndia @AmitShah @AmitShahOffice @PMOIndia @narendramodi,,"Jamshedpur, India",Jamshedpur,Jharkhand,India
1536,AnveshManglam,do you know disclosure of identity of victim of sexual assault and of children be prohibit it be punishable offence under law dial100_mp jansamparkmp ips_association dainikbhaskar peoplessamachar,0,5,0,1262977701817782272,120174146,2020-05-20 05:25:23+00:00,,@Dial100_MP @JansamparkMP @IPS_Association @DainikBhaskar @peoplessamachar,,Bhopal MP India,Bhopal,Madhya Pradesh,India
1552,JaizPuja,another explicit content tere jism par bas haq hai ek mera nhi to rape acid this time promote rape even the girl in these videos they want such duet or what youth_against_rape tiktok tiktokindiaofficial hindustanibhaau ashchanchlani carryminati,1,2,0,1262647258635472896,1215624286108438530,2020-05-19 07:32:19+00:00,,@tiktok @tiktok @hindustanibhaau @ashchanchlani @CarryMinati,,"Kolkata, India",Kolkata,West Bengal,India
1556,FPLFanatix,kolkatapolice be try to reach your cyclone amphan helpline number but all of them be busy for the past 2 hours my inlaws be at 7 station lane dhakuria and their top floor have be affect very badly due to the rain and storm can you please help urgently,1,1,2,1263127496330969089,1883054070,2020-05-20 15:20:37+00:00,,@KolkataPolice,,"Mumbai, India",Mumbai,Maharashtra,India
1570,gdajey,we ca nt let such assholes teach go scotfree please identity and tag the relevant state police departments hope we can bring them to justice domesticate animals be condition to trust humans these be pathetic and mentally ill folk who need attention treatment asap,0,0,0,1262996631202328577,46762788,2020-05-20 06:40:36+00:00,,,,Bangalore,Bengaluru,Karnataka,India
1571,Fi8ChineseVirus,hey it s better to burn down a few house than to loose soldier do you know what dangers those battle have if anyone have lose their live you would have write rip and sleep but what about the family these people http willbe reimburse,0,0,0,1263142883076571136,2238482293,2020-05-20 16:21:46+00:00,,,,India,,Madhya Pradesh,India
1572,news7tamil,justin 616 http wwns7tv corona covid19 lockdown4 domesticviolence,6,49,2,1263041604870270976,2691975211,2020-05-20 09:39:19+00:00,#JUSTIN #Corona #COVID19 #LockDown4 #DomesticViolence,,,"Chennai, India",சென்னை - Chennai,Tamil Nadu,India
1602,swati_gs,a family in bihar s kishanganj have accuse members of bhim army of desecrate a temple object to their reverence for hindu deities saffron flag attack them accuse too hv file a case against family for assault both side be dalits report,192,289,8,1262641636971958272,1121554471,2020-05-19 07:09:59+00:00,,,,"New Delhi, India",New Delhi,Delhi,India
1610,INBreakthrough,daily wage woman workers who earlier would take care of their children and themselves be now fall prey to domestic violence amid lockdown domesticviolence covid_19 read more,0,0,0,1262985830190088199,22603577,2020-05-20 05:57:41+00:00,#domesticviolence #Covid_19,,,India,,Madhya Pradesh,India
1616,MousumiDeka,pratidintime himantabiswa people go to hospitals to help their admit relatives during emergency be be stop by police it can not be justify my inlaws be age and need a younger relative at hospital we understand lockdown but this be emergency please help,0,0,0,1243408979394351106,1343672708,2020-03-27 05:26:16+00:00,,@pratidintime @himantabiswa,,Pune,Pune,Maharashtra,India
1635,shobutweets_,happy new year be gon na slap differently next year,0,7,0,1263125701101674498,1127480824004087808,2020-05-20 15:13:29+00:00,,,,India,,Madhya Pradesh,India
1638,RAWPUBLIC_JR,be waise mera kahani alag hai ek bhola bhala manush ko tum chedoge usse rag karoge mentally torture karoge even mere senior behen loog physically mujhe harass kiye the itna saab tum ek 1415 saal ke introvert bacche ke sath karoge to wo kya gale lagayega,0,1,2,1263177330488479746,1180521758467559424,2020-05-20 18:38:38+00:00,,,,India,,Madhya Pradesh,India
1644,AKhatri25,domestic violence let her fight for herself let judiciary decide but do you think it s limit to a particular religion force to convert i do nt think so infidelity take 10 years to raise her voice so let her fight why public need to decide who be right or wrong,0,0,0,1262833722484645888,767860748,2020-05-19 19:53:16+00:00,,,,India,,Madhya Pradesh,India
1695,barkhatrehan16,the wife of a man this woman have be date meet me recently along with her son she be in tear be tell this woman who pretend to be the torchbearer of men s right movement in india be push amp threaten the man to divorce his wife amp leave his son i will expose her soon,20,76,6,1239542483865833474,2673327426,2020-03-16 13:22:12+00:00,,,,"Delhi, India",Delhi,Delhi,India
1696,SusmitPat,mentally unsafe and physically unsafe for family,0,0,0,1263054188226973698,2483374867,2020-05-20 10:29:19+00:00,,,,"Mumbai, India",Mumbai,Maharashtra,India
1757,BandaySaab,father of shahryar khanum mr naeem akhtar a stupid fuck look at him yawn while ask about torture of youth in kashmir rot in jail and then in hell motherfucker,1,12,2,1263043264719945728,119837132,2020-05-20 09:45:55+00:00,,,,"Srinagar, Kashmir",Srinagar,Jammu and Kashmir,India
1763,YourKoushikk,1 domestic violence and abuse where s the proof even aish deny that 2 forensic report say there s no trace of bullet amp die from overeat 3 acquit by the supreme court 4 everyone be asshole in another s story go for facts not spicy news,0,0,1,1263001916847673344,3017695901,2020-05-20 07:01:37+00:00,,,,India,,Madhya Pradesh,India
1796,Sbothrajain,report now tik tokiyas be glorify acid attack domestic violence rap animal cruelty in the name of content what kind of influencer be they do nt you think they should be ban bantiktokinindia tiktokdown tiktokban tiktok india,0,0,0,1262630974455640070,1235853723554869248,2020-05-19 06:27:37+00:00,#BanTikTokInIndia #tiktokdown #tiktokban #tiktok #india,,,India,,Madhya Pradesh,India
1808,shahnawazhadi1,terrify mum scream as she be sexually assault in front of her toddler http worldentertainmentscentercomterrifiedmumscreamedasshewassexuallyassaultedinfrontofhertoddler,0,0,0,1262986573894881280,879643580,2020-05-20 06:00:39+00:00,,,,"Delhi, India",Delhi,Delhi,India
1828,Kartikey071,bantiktoklnlndiatik tokiyas be glorify acid attack domestic violence rap animal cruelty in the name of content what kind of influencer be they do nt you think they should be ban bantiktoklnlndia,0,0,0,1262647621371473920,1241924913771864064,2020-05-19 07:33:46+00:00,#BanTikToklnlndiaTik #BanTikToklnlndia,,,"Aligarh, India",Aligarh,Uttar Pradesh,India
1852,ShantanuMAX,a friend have tell me this his ex wife msgs him on whatsapp and block and repeat unblock msg block unblock msg block feel so ki kya batau like a slap just share an idea for others to use,0,0,0,1263140128517754881,822492011290824704,2020-05-20 16:10:49+00:00,,,,"Mumbai, India",Mumbai,Maharashtra,India
1854,rajugupta3300,tik tok promote domesticviolence animalcruelty acidattacks childabuseontherise in the name of entertainment govt should ban this app on all platforms already rat drop to 20 on google play store bantiktoklnlndia,1,5,0,1262712679044546562,1216758489634111489,2020-05-19 11:52:17+00:00,#DomesticViolence #AnimalCruelty #AcidAttacks #childabuseontherise #Entertainment #BanTikToklnlndia,,,"Mumbai, India",Mumbai,Maharashtra,India
1875,prats_ag,this lady should be throw behind the bar for sexual assault of a minor,0,0,0,1262712029925654530,63524177,2020-05-19 11:49:42+00:00,,,,भारत,,Madhya Pradesh,India
1885,x_mainkyakaru_x,20th may be a dark day for my family demise of chhoto mama cyclone mom leave for the funeral me and dad be alone at home cat and dog be unsafe god please save all of us please save those little live,0,0,0,1263034519583588353,918143734268567553,2020-05-20 09:11:10+00:00,,,,India,,Madhya Pradesh,India
1908,Rudra_Bhatt,respect rsprasad sir tiktok have be spread nuisance since it be release today i come across various videos where tiktok and its user be glorify acid attack normalise rape encourage domestic violence and sexual abuse please bantiktokinindia bantiktokapp,0,0,0,1262693613202358272,263712637,2020-05-19 10:36:31+00:00,#BanTikTokInIndia #BanTikTokApp,@rsprasad,,"Anand, India",Anand,Gujarat,India
1912,rachelchitra,as far as i know there be only two categories of deaths we ca nt name 1 coronavirus patients who commit suicide 2 victims of sexual assault under the lockdown the rest migrant workers on the move hunger deaths alcoholsuicides there should nt be a problem name,0,1,1,1262672931924185088,55389338,2020-05-19 09:14:20+00:00,,,,"Chennai, India",சென்னை - Chennai,Tamil Nadu,India
1924,SamratC16986839,5 we be proud of porus who fight alexander proud of ashoka we be race of aryabhatta sushruta panini bhaskaracharya we be proud of our lineage culture 6 jatts be kill by babur do you know that convert by force you guy have identity crisis hahahahahah,0,0,1,1263208031866679296,1246159514891505665,2020-05-20 20:40:38+00:00,,,,India,,Madhya Pradesh,India
1928,DrMahendrakar,violate the interim protection residence order issue by the court take advantage of lockdown husband inlaws be trouble verbally physically hit financially amp spit on me amp my 11yrs daughter to evacuate from the house please help us immediately sakaltimes,0,0,0,1262655951196303360,1035946445377916928,2020-05-19 08:06:52+00:00,,@sakaltimes,,"Pune, India",Pune,Maharashtra,India
1937,sbiraha,if someone be catch in rape or murder high court take 1 year to 5 years for decision but in case of school fee issue court give the decision in no time without any delay and in favour of school who be work like a mafia nagarkoti chdparentsassn,0,0,0,1263167917568389121,859639426263207936,2020-05-20 18:01:14+00:00,,@nagarkoti @ChdParentsAssn,,"Chandigarh, India",Chandigarh,Chandigarh,India
1942,nimishdubey,look who on earth be this off you keep ask me to assault sexually realconversation,0,0,0,1263017670657503237,14524389,2020-05-20 08:04:13+00:00,#RealConversation,,,Delhi,Delhi,Delhi,India
1952,ChinVij,62 followers wala fake acct bas kuch bhi naam dediya xnit karke rashmi fan hide under a fake dp can we report n blck this die for attention wala acct let blow off this acct from twitter bully n harassment ke under report karo kuch bache pagla gaye hai lckdwn mein,26,52,10,1263195875976896513,3006307307,2020-05-20 19:52:20+00:00,,,,"Mumbai, India",Mumbai,Maharashtra,India
1956,yadvarun,eh kamal ki buddhi h aapki compare domestic violence with cultural invaison toh jao jakar ncrb data utha lo muslim women face more domestic violence in compare of hindu women antidowery act be most misuse act in india,0,2,1,1262747573535703040,3252248137,2020-05-19 14:10:56+00:00,,,,"Ghazipur, India",Ghazipur,Uttar Pradesh,India
1959,chinmoyboruah,and why not simply ask govt to stop the illegal mine at first place b4 any kind of exploration why not force govt to act against these mafia first,0,0,0,1263144592024629248,64752758,2020-05-20 16:28:33+00:00,,,,India,,Madhya Pradesh,India
1960,cis_india,listen to ambikatandon and mira_cle12 speak on thequint s big story podcast about the accessibility issue of helplines to report domestic violence and possible solutions to these problems,5,11,0,1262650447279595523,42374574,2020-05-19 07:45:00+00:00,,@AmbikaTandon @mira_cle12 @TheQuint,,India,,Madhya Pradesh,India
1967,IndianTrainFan,i agree sir just not expect kendrer dosh victim chest beat,0,1,0,1263157997188124677,1441905846,2020-05-20 17:21:49+00:00,,,,India,,Madhya Pradesh,India
1969,dimagikeda,i respect both of your view and no one should be abuse in any way their father can to india use us and be now send their children to other countries but india must change its international policies and stop look at countries as brothers nepal as always play it,0,0,0,1263219816099348481,872504426182922240,2020-05-20 21:27:28+00:00,,,,India,,Madhya Pradesh,India
1984,programmingncr,three men book for kill brotherinlaw in jharsa the police say the victim sombir ram have go to his inlaws house in jharsa on friday to reconcile with his wife who have come to live with her parent after an altercation with him in april gurugram,0,0,0,1262277117611577347,3306610117,2020-05-18 07:01:31+00:00,#Gurugram,,,"Gurgaon, Haryana, India",Gurugram,Haryana,India
2007,Shivanandbk2,nidhi and bhavana you be at 20s and spread and sell so much sexuality in society prostitute be better they only sell sex you r harm society in large scale with this open sex attitude i do not understand why r u both masturbate on twitter,0,21,2,1262188462314123264,2531844660,2020-05-18 01:09:14+00:00,,,,"Hubli, India",Hubballi,Karnataka,India
2017,VyawahareMandar,so if a person be diabetics have very blood high sugar level be not allow to do exercise i hope you r aware of side effect of high blood sugar like comaparalysisbpheart attack or may die amp police will take responsibility for all the side effect correct me if wrong,0,1,2,1246495484769898503,4445542432,2020-04-04 17:50:56+00:00,,,,"Aurangabad, Pune",,Maharashtra,India
2022,twiish_,their act be inspire by a tiktok user jordy boulet viau who try to act like a criminal be beat by police officer however our desi chtiyas do their own bite of domestic violence promotion,3,7,0,1262693132736647170,574388664,2020-05-19 10:34:37+00:00,,,,Gujarat,,Gujarat,India
2027,amolagarwalece,if there be god you will burn in hell sudhirchaudhary tihar ka experience to hai hi tere paas tihadi,0,0,0,1263200643856072705,814043876818173953,2020-05-20 20:11:17+00:00,#tihadi,@sudhirchaudhary,,India,,Madhya Pradesh,India
2053,impritamhalder,asulting women randomly promote accid attack promote torture on women promote rape promote love jihad promote murder promote crime tiktok tiktokban tiktokbanindia tiktokexposed,1,1,0,1262944884383760390,752176004236402688,2020-05-20 03:14:59+00:00,#tiktokban #tiktokbanindia #tiktokexposed,,,"West Bengal, India",,West Bengal,India
2085,NewsBytesApp,in garb of entertainment tiktok promote rape domestic violence,3,2,0,1262748624678600710,3181372676,2020-05-19 14:15:07+00:00,,,,"Gurgaon, India",Gurugram,Haryana,India
2091,A76589bd,what s dis care to explain i do nt see any torture or misbehave with the nepalesei do nt even see a minor scuffle and before u reply to this let me tell you i only engage wid people with a purpose to resolve ny misunderstand if any if u have ur bias plz leave it,0,0,1,1262936352661757952,4341250152,2020-05-20 02:41:05+00:00,,,,"Uttar Pradesh, India",,Uttar Pradesh,India
2104,AftabAlam_AA,dgp_mp mpdial100 https youtube9o7tlfrcrw this be how you gon na accomplish peace in india we need ur clarification amp immediate response i do nt expect our law force have this kind of cheap mentality shameonmppolice communalviolencebymppolice islamophobia_in_india bjpisrss,0,0,0,1263191622113726465,775404128121925633,2020-05-20 19:35:26+00:00,#ShameOnMPPolice #CommunalViolenceByMPpolice #Islamophobia_In_India #BJPisRSS,@DGP_MP @MPDial100,,"Mysore, India",,Karnataka,India
2141,UPRERAofficial,the authority have issue an important press release on extension of registration of real estate project due to force majeure under the provision of rera act 2016 uprera rera realestate,10,9,19,1263211344834072576,1115925656041181184,2020-05-20 20:53:48+00:00,#Authority #UPRERA #RERA #realestate,,,"Uttar Pradesh, India",,Uttar Pradesh,India
2165,ulhascs79,please report that guy sisters i report him i can not tolerate anyone abuse biharis upites maharashtrians kannadigas teluguvaallu malayalis tamilians gujaratis and every indian be dear to me please mass report this guy i m seethe with anger,1,2,2,1263117916205129728,31063775,2020-05-20 14:42:33+00:00,,,,"Mangalore, India",,Karnataka,India
2185,hrnext,as many tell me work from office be liberate for women as it unburden them from expectations of domestic work for most of the day cause by demand inlaws husband and children for most nonelites work from home be torture,0,0,0,1260769649047855104,75309647,2020-05-14 03:11:22+00:00,,,,Pali Hill,Mumbai,Maharashtra,India
2198,AjayTya23601904,sir u r sayin that tiktok follow the safe non violence positive environment guidelines but on ur tiktok a guy tryin to choke his mother s neck with dupatta another guy hang a cat with a wire may b the cat be die due choke be that your positive environment bantiktok,0,0,0,1262830240633704449,1262277312122253312,2020-05-19 19:39:26+00:00,#BanTiktok,,,"Gurgaon, India",Gurugram,Haryana,India
2201,y_so_kool,11th std be help a friend with the english exam so write almost all the answer on his question paper but a smart ass 8th std kid have us catch but i be that teacher s favorite so nothing happen later make that little motherfucker write too many wrong answer,0,2,2,1262401366271627271,1550959915,2020-05-18 15:15:14+00:00,,,,"New Delhi, India",New Delhi,Delhi,India
2214,Plan_India,15 the government have launch a whatsapp helpline number to report domestic violence on an emergency basis the commission have constitute a special team to handle these complaints on a fast track basis helpindiaheal,0,3,0,1262692001801216000,18931466,2020-05-19 10:30:07+00:00,#WhatsApp #HelpIndiaHeal,,,"New Delhi, India",New Delhi,Delhi,India
2222,ReSt_AsSuReD2,since yesterday i have come across myriad disturb tiktok videos not just cringeworthy but truly sicken to the core some glorify rape culture domestic violence children in amorous embrace and some glorify kill of kafirs even if you do nt prefer ban 12,0,4,2,1262776938088861696,909614647300329472,2020-05-19 16:07:37+00:00,,,,India,,Madhya Pradesh,India
2231,dahale_abhijit,tiktok promote acid attack religious conversation rap child sex abuse corona carriers this be a direct attack on human be that will create differences between humans tiktokbanindia ncwindia pmoindia tiktokexposed saveindiafromtiktok hindustanibhau realkingbhau,0,2,1,1263163028591259648,850342374609997825,2020-05-20 17:41:49+00:00,#tiktokbanindia #ncwindia #pmoindia #tiktokexposed #saveindiafromtiktok #hindustanibhau,@RealKingbhau,,"Maharashtra, India",,Maharashtra,India
2235,BucketheadCase,sexual violence ka bhi extremely unnecessary display hai,0,1,1,1263232625151406080,77193761,2020-05-20 22:18:22+00:00,,,,"Bengaluru, India",Bengaluru,Karnataka,India
2262,karishmj,problem with you people be that you do not care for a human to human level relationship if i have feel for someone i will not think which would be easier to handle cultural invasion or domestic violence or carry the burden of protect a faith that be threaten so easily,0,1,3,1262748523092561929,1200196204308713472,2020-05-19 14:14:43+00:00,,,,Delhi,Delhi,Delhi,India
2266,CallMeTheWeasle,oh god i m unclean i know there would be a slug in the kitchen but i do nt turn the light on and there be a slug and i step on the slug in the dark with a bare foot and now i want to cut the foot off and burn it and douse it in bleach and bury it in another country,0,6,2,1263227683313418241,90691449,2020-05-20 21:58:43+00:00,,,,Up North,Thiruvananthapuram,Kerala,India
2268,Mayra48788943,whenever humans start to believe that this planet belong to us we be free to do with it as we wish there s a slap from the nature in the form of outbreaks which show us that we be not the master but indebted to mother earth __,0,0,0,1263138559810207755,1259491355765719041,2020-05-20 16:04:35+00:00,,,,"Indore, India",Indore,Madhya Pradesh,India
2269,ssagar005,everybody know it be water nd its face paintwhat u dont understand be face makeup be use to represent a certain situationur defense say d girl be a bad makeup artist nd guy should be book for domestic violence insteadright be u and thewirehindi his personal agent,0,0,0,1262624339154927616,4547742492,2020-05-19 06:01:15+00:00,,@thewirehindi,,India,,Madhya Pradesh,India
2272,Prakash7745,vtankha sir my sister s inlaws kill her and drive her out of the house a close relative have keep have not apply for online permission yet some help please sister naigaon district be in palghar maharashtra he have to bring itarsi district to hoshangabad,0,0,0,1259738531016200192,898410897449689094,2020-05-11 06:54:05+00:00,,@VTankha,,"Madhya Pradesh, India",,Madhya Pradesh,India
2324,ruchita_puranik,please announce the next schedule for london mumbai flight and the process for the same my inlaws be already shortlist for the 9th amp 12th may flight please help hci_london ruchighanashyam meaindia authackeray,0,0,0,1262091541754966016,4504845859,2020-05-17 18:44:06+00:00,,@HCI_London @RuchiGhanashyam @MEAIndia @AUThackeray,,"Pune, India",Pune,Maharashtra,India
2326,BlueWolf_09,arrest don t really tell the whole story tho do they the amount of men convict for rape don t equal the amount of rape case there be also like the liverpool bricking the city bus incident nobody be arrest for example,0,2,1,1263218531174420480,1048790814154010624,2020-05-20 21:22:21+00:00,,,,"Goa, India",,,India
2356,VINODCH40689938,tik tokiyas be glorify acid attack domestic violence rap animal cruelty in the name of content what kind of influencer be they do nt you think they should be ban bantiktoklnlndia,2,0,0,1262628767710818305,1252593126751027206,2020-05-19 06:18:51+00:00,#BanTikToklnlndia,,,India,,Madhya Pradesh,India
2358,ulhascs79,full news story i m a pacifist but now i m start to have murder fantasy for the rapists ips sajjanarji a case for you hope others be inspire 8yrold rape victim die after prolong illness case book http dtnextin https wwdtnextinnewscity2020021423500312152508yroldrapevictimdiesafterprolongedillnesscasevpf via dt_next,0,0,0,1229238732563181568,31063775,2020-02-17 02:58:46+00:00,,@dt_next,,"Mangalore, India",,Karnataka,India
2381,AMIT0430,why you need to put unnecessary useless sexual bullshit in every damn web series why ca nt these makers do make some good relevant series like familyman or bhokal with lesser porn and higher side of quality content justsaying,0,3,0,1263056272229912576,209960553,2020-05-20 10:37:36+00:00,#JustSaying,,,faridabad,Faridabad,Haryana,India
2425,mitikerang,great initiative by you really appreciate your efforts womenempowerment superwomen genderequity womenentrepreneurs acidattack domesticviolence,2,0,0,1262687315094315015,2309870845,2020-05-19 10:11:30+00:00,#womenempowerment #superwomen #genderequity #womenentrepreneurs #AcidAttack #domesticviolence,,,"Pune, India",Pune,Maharashtra,India
2478,DrMahendrakar,violate the interim protection residence order issue by the court take advantage of lockdown husband inlaws be trouble verbally physically hit financially amp spit on me amp my 11yrs daughter to evacuate from the house plz help us immediately cmomaharashtra,0,0,0,1262781078344994821,1035946445377916928,2020-05-19 16:24:05+00:00,,@CMOMaharashtra,,"Pune, India",Pune,Maharashtra,India
2499,odisha_police,under phone up programme to check domestic violence today on 2052020 total 177 women be contact over telephone by scrb call center no adverse report be receive today,15,138,2,1263104789165928451,848883073324167170,2020-05-20 13:50:23+00:00,,,,"Cuttack, Odisha",Cuttack,Odisha,India
