,Country name,Country Code,Region,Region Code,Year of Survey,Survey Type,Subsample,Total population,Children (aged 0-14),Youth (aged 15-24),Adult (aged 25-64),Elderly (aged 65+),Urban Population (% of total Population), Working Age Population (aged 15-64 (% of total Pop.)),Dependency Rate (all compared to 15-64),Youth Dependency Rate (younger than 15 compared to 15-64),Old Age Dependency Rate (older than 64 compared to 15-64),Labor Force (aged 15-64),Labor Force Participation Rate (aged 15-64),Female Labor Force Participation Rate (aged 15-64),Not in labor force or education rate among youth (aged 15-24),Employment to Population Ratio (aged 15-64),Share of workers (aged 15-64) with more than one jobs in last week,Employment to Labor Force Ratio (aged 15-64 ),Unemployment Rate (aged 15-64),Youth Employment to Labor Force Ratio (aged 15-24),Youth Unemployment Rate (aged 15-24),Wage employees (aged 15-64) ,Unpaid or Self-employed (age 15-64),Employers (aged 15-64),Informal jobs (aged 15-64),Formal jobs (aged 15-64),Share of work contract,Share of health insurance,Share of social security,Public sector employment (aged 15-64), Agriculture (aged 15-64), Industry (aged 15-64), Services (aged 15-64), Female in non-agricultural employment (aged 15-64),Youth in non-agricultural employment (aged 15-64), Mining (aged 15-64), Manufacturing (aged 15-64), Public utilities (aged 15-64), Construction (aged 15-64), Commerce (aged 15-64),Transport & Communication (aged 15-64),Financial and Business Services (aged 15-64),Public Administration (aged 15-64), Other services (aged 15-64), Senior Officials (aged 15-64), Professionals (aged 15-64), Technicians (aged 15-64), Clerks (aged 15-64), Service and Market Sales (aged 15-64), Skilled Agriculture (aged 15-64), Craft Workers (aged 15-64), Machine Operators (aged 15-64), Elementary Occupations (aged 15-64), Armed Forces,Average weekly working hours,Underemployment ( <35 hours per week),Excessive working hours (>48 hours per week),Median Earnings for wage workers per hour (local nominal currency),Median Earnings for wage workers per hour (deflated to 2010  local currency val),Real Median Hourly  Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month ( local nominal currency),Median Earnings for wage workers per month (deflated to 2010 local currency valu),Real Median Monthly Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month in agriculture (local nominal currenc),Median Earnings for wage workers per month in industry (local nominal currency),Median Earnings for wage workers per month in service (local nominal currency),Female to Male gender wage gap,Public to Private wage gap, No Education, Primary Education, Secondary Education, Post Secondary Education
1565,Costa Rica,CRI,Latin America and Caribbean,LCN,1998,ehpm,Rural,1898270,0.35,0.18,0.41,0.05,0.0,0.59,0.4,0.34,0.06,707219.0,0.63,0.36,0.23,0.59,0.07,0.94,0.06,0.89,0.11,0.7,0.23,0.07,0.53,0.46,,0.47,0.47,0.08,0.13,0.31,0.57,0.98,0.87,0.0,0.2,0.01,0.09,0.23,0.06,0.04,0.05,0.19,,,,,,,,,,,46.0,0.2,0.36,345.82,1130.35,1.02,62248.43,203462.59,184.1,51753.88,67228.29,71090.42,0.99,1.86,0.06,0.22,0.63,0.09
1566,Costa Rica,CRI,Latin America and Caribbean,LCN,1998,ehpm,Total,3335280,0.32,0.19,0.43,0.06,0.43,0.62,0.62,0.52,0.1,1311668.0,0.64,0.42,0.19,0.6,0.07,0.94,0.06,0.88,0.12,0.72,0.2,0.08,0.48,0.52,,0.52,0.52,0.12,0.07,0.27,0.66,0.99,0.93,0.0,0.19,0.01,0.07,0.25,0.07,0.07,0.06,0.22,,,,,,,,,,,46.0,0.19,0.35,379.15,1239.27,1.12,68246.81,223068.67,201.84,51753.88,68348.77,77266.88,0.99,1.86,0.05,0.18,0.63,0.14
1567,Costa Rica,CRI,Latin America and Caribbean,LCN,1998,ehpm,Urban,1437010,0.28,0.19,0.45,0.07,1.0,0.65,0.4,0.34,0.06,604449.0,0.65,0.49,0.13,0.61,0.06,0.95,0.05,0.87,0.13,0.75,0.16,0.08,0.42,0.58,,0.58,0.58,0.16,0.01,0.24,0.75,1.0,0.99,0.0,0.18,0.01,0.06,0.28,0.07,0.09,0.06,0.25,,,,,,,,,,,46.0,0.17,0.33,444.44,1452.69,1.31,80000.0,261484.64,236.6,48711.34,71250.0,84375.0,0.99,1.86,0.03,0.13,0.62,0.22
1568,Costa Rica,CRI,Latin America and Caribbean,LCN,1998,ehpm,Young worker,620029,0.0,1.0,0.0,0.0,0.45,1.0,0.4,0.34,0.06,336979.0,0.54,0.38,0.19,0.48,0.04,0.88,0.12,0.88,0.12,0.85,0.13,0.02,0.52,0.48,,0.48,0.48,0.05,0.07,0.32,0.61,0.99,0.93,0.0,0.24,0.01,0.07,0.31,0.04,0.07,0.02,0.17,,,,,,,,,,,46.0,0.2,0.33,313.96,1026.21,0.93,56513.57,184717.91,167.14,46686.31,59101.9,59758.48,0.99,1.86,0.02,0.13,0.73,0.12
1569,Costa Rica,CRI,Latin America and Caribbean,LCN,1999,ehpm,Female,1720230,0.32,0.19,0.44,0.06,0.48,0.62,0.39,0.34,0.05,446639.0,0.42,0.42,0.31,0.38,0.05,0.92,0.08,0.84,0.16,0.76,0.2,0.04,0.51,0.49,,0.49,0.49,0.17,0.01,0.18,0.81,0.99,1.0,0.0,0.18,0.0,0.0,0.28,0.02,0.05,0.05,0.41,,,,,,,,,,,46.0,0.3,0.22,400.64,1189.97,1.18,72115.31,214195.25,213.28,40016.84,69009.38,74698.1,,1.76,0.06,0.19,0.61,0.14
1570,Costa Rica,CRI,Latin America and Caribbean,LCN,1999,ehpm,Higher education,1479625,0.31,0.24,0.43,0.01,0.58,0.67,0.39,0.34,0.05,640611.0,0.64,0.49,0.09,0.61,0.08,0.95,0.05,0.88,0.12,0.75,0.16,0.09,0.38,0.62,,0.62,0.62,0.19,0.02,0.23,0.75,1.0,0.98,0.0,0.17,0.02,0.04,0.28,0.07,0.09,0.07,0.24,,,,,,,,,,,46.0,0.16,0.3,522.5,1551.92,1.55,94050.0,279345.16,278.15,64182.77,86256.47,98901.56,0.96,1.76,0.0,0.0,0.65,0.35
1571,Costa Rica,CRI,Latin America and Caribbean,LCN,1999,ehpm,Lower education,1925034,0.34,0.15,0.42,0.09,0.37,0.57,0.39,0.34,0.05,678492.0,0.62,0.34,0.3,0.58,0.05,0.93,0.07,0.87,0.13,0.69,0.23,0.07,0.59,0.4,,0.41,0.41,0.04,0.11,0.33,0.56,0.99,0.9,0.0,0.2,0.01,0.12,0.26,0.06,0.03,0.03,0.18,,,,,,,,,,,46.0,0.2,0.37,347.55,1032.29,1.03,62559.23,185812.0,185.02,56023.58,69005.17,60890.63,0.96,1.76,0.1,0.3,0.6,0.0
1572,Costa Rica,CRI,Latin America and Caribbean,LCN,1999,ehpm,Male,1684429,0.34,0.19,0.42,0.06,0.45,0.6,0.39,0.34,0.05,872464.0,0.86,,0.06,0.82,0.07,0.95,0.05,0.89,0.11,0.71,0.2,0.1,0.48,0.52,,0.52,0.52,0.08,0.09,0.33,0.58,,0.91,0.0,0.19,0.02,0.12,0.26,0.1,0.06,0.06,0.1,,,,,,,,,,,46.0,0.12,0.4,416.67,1237.57,1.23,75000.0,222763.27,221.81,56023.58,76955.88,85647.86,,1.76,0.06,0.18,0.63,0.13
1573,Costa Rica,CRI,Latin America and Caribbean,LCN,1999,ehpm,Old worker,1452906,0.0,0.0,1.0,0.0,0.48,1.0,0.39,0.34,0.05,985782.0,0.68,0.44,,0.65,0.08,0.96,0.04,,,0.69,0.22,0.09,0.47,0.53,,0.53,0.53,0.13,0.06,0.26,0.68,0.99,,0.0,0.17,0.01,0.07,0.25,0.08,0.06,0.07,0.23,,,,,,,,,,,46.0,0.17,0.34,451.04,1339.67,1.33,81187.5,241141.25,240.11,56872.13,81319.0,89637.73,0.96,1.76,0.07,0.21,0.57,0.15
1574,Costa Rica,CRI,Latin America and Caribbean,LCN,1999,ehpm,Rural,1831476,0.36,0.18,0.41,0.05,0.0,0.59,0.39,0.34,0.05,662454.0,0.61,0.34,0.23,0.58,0.06,0.94,0.06,0.89,0.11,0.71,0.21,0.08,0.53,0.46,,0.47,0.47,0.08,0.12,0.31,0.57,0.98,0.89,0.0,0.2,0.01,0.1,0.23,0.06,0.03,0.05,0.19,,,,,,,,,,,46.0,0.19,0.35,389.05,1155.56,1.15,70029.47,207999.94,207.11,56023.58,74698.1,77015.16,0.96,1.76,0.07,0.23,0.61,0.09
1575,Costa Rica,CRI,Latin America and Caribbean,LCN,1999,ehpm,Total,3404659,0.33,0.19,0.43,0.06,0.46,0.61,0.63,0.54,0.09,1319103.0,0.63,0.42,0.19,0.59,0.06,0.94,0.06,0.87,0.13,0.72,0.2,0.08,0.49,0.51,,0.51,0.51,0.11,0.06,0.28,0.66,0.99,0.94,0.0,0.19,0.01,0.07,0.27,0.07,0.06,0.06,0.21,,,,,,,,,,,46.0,0.18,0.34,414.99,1232.59,1.23,74698.1,221866.59,220.92,56023.58,75000.0,80922.94,0.96,1.76,0.06,0.18,0.62,0.14
1576,Costa Rica,CRI,Latin America and Caribbean,LCN,1999,ehpm,Urban,1573183,0.3,0.2,0.45,0.06,1.0,0.64,0.39,0.34,0.05,656649.0,0.65,0.49,0.14,0.61,0.07,0.94,0.06,0.85,0.15,0.74,0.18,0.08,0.44,0.56,,0.56,0.56,0.14,0.01,0.25,0.74,1.0,0.99,0.0,0.18,0.01,0.06,0.3,0.07,0.08,0.06,0.23,,,,,,,,,,,46.0,0.16,0.32,446.43,1325.97,1.32,80356.88,238674.16,237.65,56569.36,75834.38,82417.5,0.96,1.76,0.04,0.12,0.63,0.2
1577,Costa Rica,CRI,Latin America and Caribbean,LCN,1999,ehpm,Young worker,637938,0.0,1.0,0.0,0.0,0.48,1.0,0.39,0.34,0.05,333321.0,0.52,0.37,0.19,0.46,0.03,0.87,0.13,0.87,0.13,0.84,0.13,0.03,0.54,0.46,,0.46,0.46,0.04,0.06,0.31,0.63,1.0,0.94,0.0,0.23,0.01,0.07,0.34,0.04,0.06,0.02,0.16,,,,,,,,,,,46.0,0.2,0.32,345.82,1027.16,1.02,62248.43,184888.84,184.1,49798.73,65360.84,62920.31,0.96,1.76,0.03,0.13,0.73,0.11
1578,Costa Rica,CRI,Latin America and Caribbean,LCN,2000,ehpm,Female,1750250,0.31,0.19,0.44,0.06,0.48,0.63,0.38,0.33,0.06,437600.0,0.4,0.4,0.32,0.37,0.04,0.93,0.07,0.85,0.15,0.77,0.2,0.03,0.5,0.5,,0.5,0.5,0.2,0.02,0.17,0.81,0.98,0.97,0.0,0.16,0.0,0.01,0.27,0.02,0.05,0.05,0.41,,,,,,,,,,,45.0,0.28,0.21,460.77,1233.03,1.36,82938.83,221945.63,245.29,59643.56,78750.0,86256.47,,1.81,0.05,0.19,0.62,0.14
1579,Costa Rica,CRI,Latin America and Caribbean,LCN,2000,ehpm,Higher education,1459663,0.3,0.25,0.43,0.02,0.59,0.68,0.38,0.33,0.06,631476.0,0.63,0.48,0.09,0.61,0.07,0.96,0.04,0.91,0.09,0.77,0.17,0.06,0.36,0.64,,0.64,0.64,0.24,0.02,0.22,0.76,1.0,0.98,0.0,0.17,0.01,0.04,0.27,0.08,0.09,0.07,0.25,,,,,,,,,,,45.0,0.15,0.29,592.42,1585.33,1.75,106635.64,285358.63,315.37,78433.02,93749.99,113324.06,0.99,1.81,0.0,0.0,0.65,0.35
1580,Costa Rica,CRI,Latin America and Caribbean,LCN,2000,ehpm,Lower education,2021193,0.33,0.15,0.43,0.09,0.39,0.58,0.38,0.33,0.06,706859.0,0.6,0.32,0.32,0.56,0.05,0.94,0.06,0.87,0.13,0.67,0.28,0.05,0.6,0.4,,0.4,0.4,0.05,0.14,0.3,0.56,0.96,0.84,0.0,0.17,0.01,0.12,0.26,0.07,0.03,0.03,0.17,,,,,,,,,,,45.0,0.2,0.34,391.79,1048.43,1.16,70521.91,188717.73,208.57,62601.71,77630.82,70312.5,0.99,1.81,0.09,0.29,0.62,0.0
1581,Costa Rica,CRI,Latin America and Caribbean,LCN,2000,ehpm,Male,1730606,0.33,0.2,0.42,0.05,0.46,0.62,0.38,0.33,0.06,900735.0,0.84,,0.08,0.81,0.07,0.96,0.04,0.91,0.09,0.69,0.24,0.07,0.48,0.52,,0.52,0.52,0.12,0.11,0.31,0.58,,0.88,0.0,0.17,0.01,0.12,0.26,0.1,0.06,0.05,0.1,,,,,,,,,,,45.0,0.13,0.37,464.29,1242.44,1.37,83552.03,223638.44,247.1,64893.98,85071.16,94911.23,,1.81,0.06,0.18,0.64,0.13
1582,Costa Rica,CRI,Latin America and Caribbean,LCN,2000,ehpm,Old worker,1490361,0.0,0.0,1.0,0.0,0.49,1.0,0.38,0.33,0.06,993011.0,0.67,0.42,,0.64,0.07,0.97,0.03,,,0.68,0.25,0.07,0.47,0.53,,0.53,0.53,0.17,0.08,0.25,0.67,0.99,,0.0,0.16,0.01,0.08,0.24,0.08,0.06,0.06,0.23,,,,,,,,,,,45.0,0.17,0.33,500.0,1338.01,1.48,90000.0,240841.41,266.17,66350.63,93272.73,101250.0,0.99,1.81,0.07,0.21,0.58,0.14
1583,Costa Rica,CRI,Latin America and Caribbean,LCN,2000,ehpm,Rural,1838703,0.34,0.19,0.42,0.05,0.0,0.6,0.38,0.33,0.06,663321.0,0.6,0.32,0.24,0.57,0.05,0.95,0.05,0.89,0.11,0.68,0.26,0.06,0.54,0.46,,0.46,0.46,0.1,0.16,0.27,0.57,0.96,0.83,0.0,0.16,0.01,0.1,0.23,0.06,0.04,0.05,0.19,,,,,,,,,,,45.0,0.2,0.32,435.74,1166.04,1.29,78433.02,209887.98,231.96,64129.53,87216.07,86256.47,0.99,1.81,0.07,0.23,0.62,0.08
1584,Costa Rica,CRI,Latin America and Caribbean,LCN,2000,ehpm,Total,3480856,0.32,0.2,0.43,0.06,0.47,0.62,0.6,0.51,0.09,1338335.0,0.62,0.4,0.2,0.58,0.06,0.95,0.05,0.89,0.11,0.72,0.23,0.06,0.49,0.51,,0.52,0.52,0.14,0.08,0.26,0.66,0.98,0.92,0.0,0.17,0.01,0.08,0.27,0.07,0.06,0.05,0.21,,,,,,,,,,,45.0,0.18,0.32,462.23,1236.93,1.37,83201.25,222647.86,246.06,64692.36,84035.38,91910.38,0.99,1.81,0.06,0.18,0.63,0.13
1585,Costa Rica,CRI,Latin America and Caribbean,LCN,2000,ehpm,Urban,1642153,0.29,0.21,0.44,0.06,1.0,0.65,0.38,0.33,0.06,675014.0,0.63,0.47,0.15,0.6,0.06,0.95,0.05,0.89,0.11,0.76,0.19,0.05,0.43,0.57,,0.57,0.57,0.19,0.02,0.25,0.73,1.0,0.99,0.0,0.17,0.01,0.07,0.29,0.08,0.07,0.06,0.23,,,,,,,,,,,45.0,0.16,0.31,500.0,1338.01,1.48,90000.0,240841.41,266.17,68972.81,81187.5,95192.3,0.99,1.81,0.04,0.13,0.64,0.19
1586,Costa Rica,CRI,Latin America and Caribbean,LCN,2000,ehpm,Young worker,683430,0.0,1.0,0.0,0.0,0.49,1.0,0.38,0.33,0.06,345324.0,0.51,0.34,0.2,0.45,0.03,0.89,0.11,0.89,0.11,0.84,0.15,0.02,0.55,0.45,,0.45,0.45,0.06,0.08,0.29,0.63,0.97,0.92,0.0,0.2,0.01,0.08,0.34,0.05,0.05,0.02,0.17,,,,,,,,,,,45.0,0.19,0.29,396.52,1061.1,1.17,71373.75,190997.27,211.09,59242.02,72115.31,75000.0,0.99,1.81,0.03,0.12,0.73,0.12
1587,Costa Rica,CRI,Latin America and Caribbean,LCN,2001,ehpm,Female,1970046,0.29,0.19,0.45,0.06,0.6,0.64,0.38,0.32,0.06,570662.0,0.45,0.45,0.28,0.42,0.05,0.92,0.08,0.84,0.16,0.72,0.23,0.05,0.49,0.5,,0.51,0.51,0.2,0.04,0.17,0.79,0.96,0.95,0.0,0.16,0.01,0.01,0.27,0.02,0.08,0.05,0.37,0.02,0.15,0.1,0.12,0.22,0.01,0.05,0.06,0.27,0.0,45.0,0.3,0.2,515.11,1239.3,1.52,92719.69,223074.78,274.22,66913.13,87991.37,96040.41,,1.84,0.05,0.18,0.62,0.15
1588,Costa Rica,CRI,Latin America and Caribbean,LCN,2001,ehpm,Higher education,1786732,0.27,0.26,0.45,0.02,0.7,0.71,0.38,0.32,0.06,831148.0,0.65,0.53,0.09,0.62,0.07,0.94,0.06,0.88,0.12,0.75,0.16,0.09,0.37,0.63,,0.63,0.63,0.23,0.04,0.22,0.73,0.99,0.95,0.0,0.16,0.02,0.04,0.26,0.06,0.11,0.07,0.23,0.04,0.18,0.19,0.12,0.16,0.01,0.09,0.09,0.12,0.0,45.0,0.16,0.29,676.56,1627.75,2.0,121781.25,292994.13,360.16,86256.47,111521.25,127747.49,1.01,1.84,0.0,0.0,0.65,0.35
1589,Costa Rica,CRI,Latin America and Caribbean,LCN,2001,ehpm,Lower education,2115200,0.34,0.15,0.42,0.09,0.49,0.57,0.38,0.32,0.06,756639.0,0.63,0.37,0.29,0.59,0.05,0.93,0.07,0.85,0.15,0.65,0.29,0.07,0.6,0.39,,0.4,0.4,0.05,0.26,0.26,0.48,0.92,0.7,0.0,0.14,0.01,0.1,0.22,0.05,0.05,0.02,0.14,0.0,0.0,0.04,0.03,0.15,0.08,0.15,0.11,0.44,0.0,45.0,0.22,0.36,414.99,998.43,1.23,74698.1,179716.56,220.92,67228.29,81488.84,75000.0,1.01,1.84,0.09,0.3,0.61,0.0
1590,Costa Rica,CRI,Latin America and Caribbean,LCN,2001,ehpm,Male,1931886,0.32,0.21,0.42,0.06,0.58,0.63,0.38,0.32,0.06,1017125.0,0.84,,0.06,0.8,0.07,0.95,0.05,0.88,0.12,0.69,0.21,0.09,0.47,0.52,,0.53,0.53,0.11,0.21,0.27,0.52,,0.77,0.0,0.15,0.02,0.11,0.23,0.08,0.08,0.05,0.08,0.03,0.07,0.13,0.05,0.12,0.07,0.15,0.12,0.27,0.0,45.0,0.13,0.39,515.11,1239.3,1.52,92719.69,223074.78,274.22,69966.94,93749.99,104999.99,,1.84,0.06,0.17,0.64,0.14
1591,Costa Rica,CRI,Latin America and Caribbean,LCN,2001,ehpm,Old worker,1694596,0.0,0.0,1.0,0.0,0.61,1.0,0.38,0.32,0.06,1187470.0,0.7,0.49,,0.67,0.07,0.96,0.04,,,0.66,0.24,0.1,0.47,0.53,,0.53,0.53,0.17,0.14,0.23,0.63,0.97,,0.0,0.15,0.01,0.07,0.23,0.06,0.08,0.06,0.2,0.03,0.11,0.13,0.06,0.15,0.05,0.13,0.1,0.24,0.0,45.0,0.18,0.33,552.08,1328.26,1.63,99374.99,239086.83,293.9,71824.69,98601.49,112293.76,1.01,1.84,0.07,0.19,0.59,0.15
1592,Costa Rica,CRI,Latin America and Caribbean,LCN,2001,ehpm,Rural,1598505,0.35,0.19,0.41,0.05,0.0,0.6,0.38,0.32,0.06,596157.0,0.62,0.36,0.22,0.58,0.06,0.93,0.07,0.87,0.13,0.66,0.26,0.07,0.57,0.43,,0.43,0.43,0.09,0.34,0.21,0.45,0.89,0.64,0.0,0.12,0.01,0.07,0.2,0.04,0.04,0.03,0.14,0.01,0.04,0.07,0.04,0.13,0.1,0.11,0.09,0.41,0.0,45.0,0.23,0.34,461.23,1109.68,1.36,83021.85,199742.72,245.53,69005.17,92006.91,94787.23,1.01,1.84,0.07,0.24,0.62,0.07
1593,Costa Rica,CRI,Latin America and Caribbean,LCN,2001,ehpm,Total,3901932,0.31,0.2,0.43,0.06,0.59,0.63,0.58,0.48,0.09,1587787.0,0.64,0.45,0.17,0.6,0.06,0.94,0.06,0.87,0.13,0.7,0.22,0.08,0.48,0.52,,0.52,0.52,0.15,0.15,0.24,0.61,0.96,0.83,0.0,0.15,0.01,0.07,0.24,0.06,0.08,0.05,0.18,0.02,0.1,0.12,0.07,0.15,0.04,0.12,0.1,0.27,0.0,45.0,0.19,0.33,515.11,1239.3,1.52,92719.69,223074.78,274.22,69005.17,92346.19,103021.88,1.01,1.84,0.05,0.17,0.63,0.15
1594,Costa Rica,CRI,Latin America and Caribbean,LCN,2001,ehpm,Urban,2303427,0.28,0.21,0.45,0.07,1.0,0.66,0.38,0.32,0.06,991630.0,0.66,0.51,0.13,0.62,0.06,0.94,0.06,0.86,0.14,0.73,0.19,0.08,0.43,0.57,,0.57,0.57,0.18,0.03,0.25,0.71,0.99,0.97,0.0,0.17,0.01,0.07,0.27,0.06,0.1,0.06,0.21,0.03,0.13,0.15,0.1,0.17,0.01,0.12,0.1,0.19,0.0,45.0,0.17,0.32,555.56,1336.61,1.64,100000.0,240590.53,295.75,72115.31,92812.5,104999.99,1.01,1.84,0.04,0.12,0.64,0.2
1595,Costa Rica,CRI,Latin America and Caribbean,LCN,2001,ehpm,Young worker,779067,0.0,1.0,0.0,0.0,0.61,1.0,0.38,0.32,0.06,400317.0,0.51,0.37,0.17,0.44,0.03,0.87,0.13,0.87,0.13,0.83,0.15,0.02,0.52,0.48,,0.48,0.48,0.07,0.17,0.26,0.57,0.95,0.83,0.0,0.17,0.01,0.08,0.28,0.04,0.08,0.02,0.15,0.0,0.04,0.1,0.12,0.17,0.01,0.09,0.09,0.37,0.0,45.0,0.22,0.3,435.74,1048.35,1.29,78433.02,188702.41,231.96,63191.49,81488.84,83333.33,1.01,1.84,0.02,0.13,0.72,0.13
1596,Costa Rica,CRI,Latin America and Caribbean,LCN,2002,ehpm,Female,2014168,0.29,0.19,0.45,0.07,0.6,0.65,0.37,0.31,0.06,583534.0,0.45,0.45,0.27,0.41,0.06,0.92,0.08,0.83,0.17,0.71,0.24,0.05,0.5,0.5,,0.5,0.5,0.21,0.04,0.15,0.81,0.96,0.94,0.0,0.14,0.01,0.0,0.28,0.02,0.09,0.05,0.37,0.02,0.14,0.1,0.12,0.23,0.01,0.06,0.05,0.28,0.0,45.0,0.32,0.22,572.34,1261.4,1.69,103021.88,227051.97,304.68,78802.53,98901.0,107060.63,,1.97,0.05,0.16,0.63,0.16
1597,Costa Rica,CRI,Latin America and Caribbean,LCN,2002,ehpm,Higher education,1872880,0.26,0.27,0.45,0.02,0.7,0.72,0.37,0.31,0.06,874902.0,0.65,0.52,0.07,0.61,0.07,0.94,0.06,0.87,0.13,0.75,0.17,0.09,0.38,0.62,,0.62,0.62,0.22,0.05,0.22,0.74,0.99,0.93,0.0,0.15,0.02,0.04,0.26,0.06,0.12,0.07,0.23,0.04,0.18,0.18,0.12,0.17,0.01,0.1,0.08,0.13,0.0,45.0,0.17,0.32,737.23,1624.8,2.18,132456.7,292464.88,391.74,87500.0,123626.25,140625.0,1.03,1.97,0.0,0.0,0.66,0.34
1598,Costa Rica,CRI,Latin America and Caribbean,LCN,2002,ehpm,Lower education,2125003,0.33,0.14,0.42,0.1,0.49,0.57,0.37,0.31,0.06,756143.0,0.63,0.36,0.3,0.58,0.05,0.93,0.07,0.85,0.15,0.64,0.3,0.07,0.61,0.39,,0.39,0.39,0.05,0.27,0.24,0.49,0.91,0.7,0.0,0.14,0.01,0.1,0.23,0.06,0.05,0.02,0.14,0.0,0.0,0.04,0.02,0.16,0.08,0.15,0.11,0.44,0.0,45.0,0.22,0.38,456.03,1005.06,1.35,82085.97,180911.53,242.77,75278.38,90037.9,82417.5,1.03,1.97,0.09,0.28,0.62,0.0
1599,Costa Rica,CRI,Latin America and Caribbean,LCN,2002,ehpm,Male,1983715,0.31,0.21,0.42,0.06,0.58,0.63,0.37,0.31,0.06,1047511.0,0.84,,0.05,0.79,0.06,0.94,0.06,0.88,0.12,0.69,0.22,0.09,0.48,0.52,,0.52,0.52,0.11,0.21,0.27,0.52,,0.76,0.0,0.15,0.02,0.1,0.23,0.08,0.08,0.04,0.08,0.03,0.07,0.12,0.05,0.13,0.06,0.15,0.12,0.27,0.0,45.0,0.13,0.42,564.65,1244.44,1.67,101557.75,223999.75,300.35,75830.22,107060.41,115522.05,,1.97,0.05,0.16,0.65,0.13
1600,Costa Rica,CRI,Latin America and Caribbean,LCN,2002,ehpm,Old worker,1751222,0.0,0.0,1.0,0.0,0.61,1.0,0.37,0.31,0.06,1229758.0,0.7,0.49,,0.67,0.07,0.96,0.04,,,0.66,0.25,0.09,0.47,0.53,,0.53,0.53,0.17,0.14,0.22,0.63,0.96,,0.0,0.14,0.02,0.07,0.23,0.06,0.09,0.05,0.2,0.03,0.11,0.12,0.06,0.15,0.05,0.13,0.09,0.24,0.0,45.0,0.18,0.36,625.0,1377.45,1.85,112500.0,247941.0,332.71,78433.02,114381.48,123750.0,1.03,1.97,0.07,0.18,0.59,0.16
1601,Costa Rica,CRI,Latin America and Caribbean,LCN,2002,ehpm,Rural,1638725,0.34,0.19,0.42,0.05,0.0,0.61,0.37,0.31,0.06,614718.0,0.62,0.35,0.22,0.58,0.06,0.94,0.06,0.89,0.11,0.65,0.27,0.08,0.57,0.43,,0.43,0.43,0.09,0.34,0.2,0.46,0.88,0.64,0.0,0.11,0.01,0.07,0.2,0.04,0.04,0.03,0.14,0.01,0.05,0.07,0.04,0.14,0.1,0.11,0.08,0.4,0.0,45.0,0.23,0.35,503.16,1108.93,1.49,90569.3,199607.48,267.86,75829.78,98503.16,104585.98,1.03,1.97,0.07,0.23,0.63,0.08
1602,Costa Rica,CRI,Latin America and Caribbean,LCN,2002,ehpm,Total,3997883,0.3,0.2,0.44,0.06,0.59,0.64,0.56,0.47,0.1,1631045.0,0.64,0.45,0.16,0.6,0.06,0.94,0.06,0.86,0.14,0.7,0.23,0.08,0.49,0.51,,0.51,0.51,0.14,0.15,0.23,0.62,0.96,0.82,0.0,0.14,0.01,0.07,0.24,0.06,0.09,0.05,0.19,0.02,0.1,0.12,0.07,0.16,0.04,0.12,0.09,0.27,0.0,45.0,0.19,0.35,570.04,1256.32,1.69,102600.0,226137.83,303.44,76236.56,103404.25,112500.0,1.03,1.97,0.05,0.16,0.64,0.15
1603,Costa Rica,CRI,Latin America and Caribbean,LCN,2002,ehpm,Urban,2359158,0.27,0.21,0.45,0.07,1.0,0.66,0.37,0.31,0.06,1016327.0,0.65,0.5,0.12,0.61,0.06,0.93,0.07,0.84,0.16,0.72,0.2,0.08,0.44,0.56,,0.56,0.56,0.17,0.03,0.25,0.72,0.99,0.97,0.0,0.17,0.02,0.07,0.27,0.07,0.11,0.05,0.21,0.03,0.13,0.14,0.09,0.18,0.01,0.13,0.1,0.19,0.0,45.0,0.18,0.35,625.0,1377.45,1.85,112500.0,247941.0,332.71,82417.5,108173.45,115200.0,1.03,1.97,0.04,0.11,0.65,0.2
1604,Costa Rica,CRI,Latin America and Caribbean,LCN,2002,ehpm,Young worker,806816,0.0,1.0,0.0,0.0,0.61,1.0,0.37,0.31,0.06,401287.0,0.5,0.35,0.16,0.43,0.03,0.86,0.14,0.86,0.14,0.82,0.16,0.02,0.55,0.45,,0.46,0.46,0.06,0.18,0.25,0.58,0.94,0.82,0.0,0.16,0.01,0.08,0.29,0.04,0.08,0.02,0.14,0.0,0.04,0.09,0.11,0.19,0.01,0.09,0.08,0.39,0.0,45.0,0.23,0.32,466.11,1027.27,1.38,83661.88,184909.33,247.43,72455.44,85648.5,86600.0,1.03,1.97,0.02,0.12,0.74,0.12
1605,Costa Rica,CRI,Latin America and Caribbean,LCN,2003,ehpm,Female,2069822,0.28,0.2,0.46,0.06,0.6,0.65,0.36,0.31,0.06,611342.0,0.45,0.45,0.27,0.41,0.05,0.92,0.08,0.82,0.18,0.72,0.23,0.05,0.5,0.5,,0.5,0.5,0.2,0.04,0.14,0.82,0.96,0.95,0.0,0.13,0.01,0.0,0.28,0.02,0.09,0.05,0.38,0.02,0.15,0.1,0.12,0.23,0.01,0.05,0.04,0.27,0.0,45.0,0.31,0.22,629.58,1267.77,1.86,113324.06,228198.0,335.15,82417.5,110629.28,118484.04,,1.99,0.04,0.16,0.63,0.17
