,Country Code,Year of Survey,Country name,Region,Region Code,Survey Type,Subsample,Total population,Children (aged 0-14),Youth (aged 15-24),Adult (aged 25-64),Elderly (aged 65+),Urban Population (% of total Population), Working Age Population (aged 15-64 (% of total Pop.)),Dependency Rate (all compared to 15-64),Youth Dependency Rate (younger than 15 compared to 15-64),Old Age Dependency Rate (older than 64 compared to 15-64),Labor Force (aged 15-64),Labor Force Participation Rate (aged 15-64),Female Labor Force Participation Rate (aged 15-64),Not in labor force or education rate among youth (aged 15-24),Employment to Population Ratio (aged 15-64),Share of workers (aged 15-64) with more than one jobs in last week,Employment to Labor Force Ratio (aged 15-64 ),Unemployment Rate (aged 15-64),Youth Employment to Labor Force Ratio (aged 15-24),Youth Unemployment Rate (aged 15-24),Wage employees (aged 15-64) ,Unpaid or Self-employed (age 15-64),Employers (aged 15-64),Informal jobs (aged 15-64),Formal jobs (aged 15-64),Share of work contract,Share of health insurance,Share of social security,Public sector employment (aged 15-64), Agriculture (aged 15-64), Industry (aged 15-64), Services (aged 15-64), Female in non-agricultural employment (aged 15-64),Youth in non-agricultural employment (aged 15-64), Mining (aged 15-64), Manufacturing (aged 15-64), Public utilities (aged 15-64), Construction (aged 15-64), Commerce (aged 15-64),Transport & Communication (aged 15-64),Financial and Business Services (aged 15-64),Public Administration (aged 15-64), Other services (aged 15-64), Senior Officials (aged 15-64), Professionals (aged 15-64), Technicians (aged 15-64), Clerks (aged 15-64), Service and Market Sales (aged 15-64), Skilled Agriculture (aged 15-64), Craft Workers (aged 15-64), Machine Operators (aged 15-64), Elementary Occupations (aged 15-64), Armed Forces,Average weekly working hours,Underemployment ( <35 hours per week),Excessive working hours (>48 hours per week),Median Earnings for wage workers per hour (local nominal currency),Median Earnings for wage workers per hour (deflated to 2010  local currency val),Real Median Hourly  Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month ( local nominal currency),Median Earnings for wage workers per month (deflated to 2010 local currency valu),Real Median Monthly Wages in USD (base 2010) (PPP adjusted),Median Earnings for wage workers per month in agriculture (local nominal currenc),Median Earnings for wage workers per month in industry (local nominal currency),Median Earnings for wage workers per month in service (local nominal currency),Female to Male gender wage gap,Public to Private wage gap, No Education, Primary Education, Secondary Education, Post Secondary Education
251,ECU,2015,Ecuador,Latin America and Caribbean,LCN,enemd,Urban,11153731,0.29,0.18,0.46,0.06,1.0,0.65,0.39,0.31,0.08,4899854.0,0.68,0.55,0.15,0.64,0.03,0.94,0.06,0.85,0.15,0.63,0.34,0.04,0.22,0.41,0.87,0.02,0.66,0.12,0.08,0.22,0.71,0.96,0.92,0.01,0.12,0.01,0.08,0.32,0.09,0.08,0.06,0.17,0.07,0.08,0.09,0.08,0.17,0.04,0.14,0.09,0.23,0.01,38.0,0.21,0.22,2.33,1.91,4.3,418.6,344.59,774.72,340.12,399.42,430.97,1.01,1.92,0.02,0.07,0.55,0.36
252,ECU,2015,Ecuador,Latin America and Caribbean,LCN,enemd,Young worker,2966852,0.0,1.0,0.0,0.0,0.69,1.0,0.39,0.31,0.08,1269360.0,0.43,0.32,0.16,0.38,0.03,0.88,0.12,0.88,0.12,0.66,0.34,0.0,0.39,0.27,0.72,0.01,0.41,0.04,0.3,0.21,0.49,0.74,0.7,0.01,0.11,0.0,0.09,0.28,0.05,0.06,0.02,0.08,0.08,0.01,0.05,0.08,0.11,0.07,0.1,0.04,0.44,0.0,38.0,0.36,0.14,2.03,1.68,3.77,366.28,301.51,677.88,334.88,370.7,371.51,1.01,1.92,0.01,0.04,0.66,0.29
253,EGY,2005,Egypt (Arab Rep.),Middle East and North Africa,MEA,elmps,Female,35200305,0.3,0.23,0.41,0.05,0.43,0.64,0.36,0.31,0.05,10537012.68,0.47,0.47,0.34,0.42,0.01,0.9,0.1,0.79,0.21,0.29,0.69,0.02,0.32,0.21,0.47,0.37,0.4,0.19,0.63,0.07,0.29,0.37,0.26,0.0,0.07,0.0,0.0,0.07,0.01,0.01,0.19,0.01,0.04,0.1,0.07,0.03,0.06,0.63,0.05,0.02,0.0,0.0,40.0,0.72,0.07,2.22,3.85,,380.0,657.93,,140.0,260.0,400.0,,1.06,,,,
254,EGY,2005,Egypt (Arab Rep.),Middle East and North Africa,MEA,elmps,Higher education,70322840,0.31,0.22,0.41,0.05,0.42,0.64,0.36,0.31,0.05,27979684.4,0.63,0.47,0.22,0.58,0.01,0.93,0.07,0.83,0.17,0.53,0.36,0.11,0.48,0.34,0.41,0.33,0.42,0.22,0.38,0.19,0.43,0.37,0.51,0.0,0.12,0.01,0.06,0.14,0.06,0.02,0.2,0.01,0.07,0.11,0.07,0.03,0.12,0.37,0.14,0.06,0.02,0.0,40.0,0.33,0.31,2.06,3.57,,428.67,744.49,,303.33,450.0,436.0,0.84,1.06,,,,
255,EGY,2005,Egypt (Arab Rep.),Middle East and North Africa,MEA,elmps,Male,35122535,0.32,0.22,0.42,0.05,0.42,0.63,0.36,0.31,0.05,17442671.72,0.79,,0.1,0.75,0.02,0.95,0.05,0.86,0.14,0.67,0.17,0.16,0.58,0.42,0.4,0.31,0.42,0.23,0.23,0.26,0.51,,0.68,0.0,0.15,0.01,0.1,0.18,0.09,0.03,0.2,0.0,0.08,0.12,0.08,0.03,0.15,0.22,0.2,0.08,0.04,0.0,40.0,0.1,0.46,2.03,3.51,,437.0,761.81,,311.71,455.0,450.0,,1.06,,,,
256,EGY,2005,Egypt (Arab Rep.),Middle East and North Africa,MEA,elmps,Old worker,29160434,0.0,0.0,1.0,0.0,0.47,1.0,0.36,0.31,0.05,21181104.07,0.73,0.53,,0.7,0.01,0.96,0.04,,,0.55,0.32,0.13,0.44,0.41,0.48,0.39,0.49,0.26,0.34,0.19,0.47,0.4,,0.0,0.12,0.01,0.06,0.14,0.06,0.03,0.24,0.01,0.08,0.13,0.09,0.04,0.11,0.33,0.13,0.06,0.02,0.0,40.0,0.29,0.31,2.26,3.91,,455.0,787.78,,312.0,505.0,456.67,0.84,1.06,,,,
257,EGY,2005,Egypt (Arab Rep.),Middle East and North Africa,MEA,elmps,Rural,40602997,0.34,0.24,0.38,0.04,0.0,0.62,0.36,0.31,0.05,17106752.8,0.69,0.57,0.23,0.65,0.02,0.95,0.05,0.89,0.11,0.41,0.47,0.12,0.53,0.22,0.29,0.24,0.3,0.16,0.54,0.16,0.3,0.2,0.38,0.0,0.09,0.01,0.06,0.1,0.04,0.01,0.14,0.0,0.04,0.06,0.05,0.02,0.1,0.54,0.13,0.05,0.02,0.0,40.0,0.44,0.27,1.81,3.14,,373.33,649.27,,300.0,390.0,390.0,0.84,1.06,,,,
258,EGY,2005,Egypt (Arab Rep.),Middle East and North Africa,MEA,elmps,Total,70322840,0.31,0.22,0.41,0.05,0.42,0.64,0.57,0.49,0.08,27979684.4,0.62,0.47,0.22,0.58,0.01,0.93,0.07,0.83,0.17,0.53,0.36,0.11,0.59,0.41,0.41,0.33,0.42,0.22,0.38,0.19,0.43,0.37,0.51,0.0,0.12,0.01,0.06,0.14,0.06,0.02,0.2,0.01,0.07,0.11,0.07,0.03,0.12,0.37,0.14,0.06,0.02,0.0,40.0,0.33,0.31,2.06,3.57,,428.67,744.49,,303.33,450.0,436.0,0.84,1.06,,,,
259,EGY,2005,Egypt (Arab Rep.),Middle East and North Africa,MEA,elmps,Urban,29719843,0.27,0.21,0.46,0.06,1.0,0.67,0.36,0.31,0.05,10872931.6,0.55,0.34,0.22,0.49,0.01,0.89,0.11,0.7,0.3,0.73,0.18,0.09,0.41,0.54,0.59,0.45,0.57,0.31,0.09,0.26,0.65,0.77,0.86,0.0,0.17,0.01,0.07,0.22,0.08,0.04,0.3,0.01,0.12,0.2,0.12,0.05,0.15,0.09,0.17,0.07,0.03,0.0,40.0,0.14,0.38,2.4,4.16,,500.0,865.69,,500.0,520.0,500.0,0.84,1.06,,,,
260,EGY,2005,Egypt (Arab Rep.),Middle East and North Africa,MEA,elmps,Young worker,15752178,0.0,1.0,0.0,0.0,0.39,1.0,0.36,0.31,0.05,6798580.33,0.43,0.36,0.22,0.36,0.01,0.83,0.17,0.83,0.17,0.47,0.51,0.03,0.65,0.09,0.15,0.08,0.13,0.05,0.49,0.22,0.28,0.26,0.51,0.0,0.13,0.0,0.09,0.16,0.05,0.01,0.06,0.0,0.01,0.03,0.03,0.02,0.13,0.49,0.2,0.06,0.03,0.0,40.0,0.44,0.32,1.39,2.4,,300.0,519.42,,296.11,325.0,300.0,0.84,1.06,,,,
261,EST,2004,Estonia,Europe and Central Asia,ECS,hbs,Female,729195,0.15,0.15,0.5,0.2,0.46,0.65,0.31,0.16,0.15,321229.21,0.68,0.68,0.1,0.61,,0.9,0.1,0.82,0.18,0.95,0.03,0.02,,,,,,,0.04,0.25,0.71,0.96,1.0,0.01,0.22,0.01,0.01,0.24,0.04,0.07,0.06,0.29,0.1,0.16,0.16,0.08,0.2,0.03,0.04,0.12,0.11,0.0,,,,,,,,,,,,,,,,,,
262,EST,2004,Estonia,Europe and Central Asia,ECS,hbs,Higher education,1340458,0.16,0.17,0.51,0.16,0.45,0.68,0.31,0.16,0.15,643904.15,0.71,0.68,0.07,0.63,,0.89,0.11,0.82,0.18,0.92,0.05,0.03,,,,,,,0.06,0.35,0.58,0.96,0.96,0.01,0.24,0.02,0.08,0.18,0.09,0.07,0.06,0.18,0.13,0.11,0.12,0.05,0.13,0.03,0.16,0.16,0.09,0.01,,,,,,,,,,,,,,,,,,
263,EST,2004,Estonia,Europe and Central Asia,ECS,hbs,Male,611263,0.17,0.18,0.53,0.12,0.44,0.71,0.31,0.16,0.15,322674.94,0.75,,0.04,0.66,,0.88,0.12,0.83,0.17,0.88,0.07,0.05,,,,,,,0.08,0.46,0.46,,0.92,0.02,0.26,0.03,0.15,0.12,0.13,0.06,0.06,0.08,0.16,0.06,0.07,0.03,0.06,0.04,0.29,0.21,0.08,0.01,,,,,,,,,,,,,,,,,,
264,EST,2004,Estonia,Europe and Central Asia,ECS,hbs,Old worker,684094,0.0,0.0,1.0,0.0,0.46,1.0,0.31,0.16,0.15,558827.37,0.82,0.78,,0.74,,0.9,0.1,,,0.91,0.05,0.03,,,,,,,0.06,0.36,0.58,0.95,,0.01,0.24,0.02,0.08,0.17,0.09,0.07,0.06,0.19,0.14,0.11,0.12,0.05,0.12,0.03,0.16,0.17,0.09,0.01,,,,,,,,,,,,,,,,,,
265,EST,2004,Estonia,Europe and Central Asia,ECS,hbs,Rural,346103,0.18,0.15,0.49,0.17,0.0,0.65,0.31,0.16,0.15,142889.98,0.64,0.62,0.1,0.56,,0.87,0.13,0.74,0.26,0.88,0.09,0.03,,,,,,,0.19,0.32,0.49,0.85,0.9,0.01,0.23,0.01,0.07,0.15,0.07,0.03,0.07,0.18,0.11,0.07,0.1,0.03,0.13,0.1,0.13,0.2,0.11,0.01,,,,,,,,,,,,,,,,,,
266,EST,2004,Estonia,Europe and Central Asia,ECS,hbs,Total,1340458,0.16,0.17,0.51,0.16,0.45,0.68,0.48,0.24,0.24,643904.15,0.71,0.68,0.07,0.63,,0.89,0.11,0.82,0.18,0.92,0.05,0.03,,,,,,,0.06,0.35,0.58,0.96,0.96,0.01,0.24,0.02,0.08,0.18,0.09,0.07,0.06,0.18,0.13,0.11,0.12,0.05,0.13,0.03,0.16,0.16,0.09,0.01,,,,,,,,,,,,,,,,,,
267,EST,2004,Estonia,Europe and Central Asia,ECS,hbs,Urban,608926,0.15,0.16,0.52,0.17,1.0,0.68,0.31,0.16,0.15,306632.34,0.74,0.71,0.05,0.67,,0.9,0.1,0.82,0.18,0.94,0.03,0.03,,,,,,,0.01,0.37,0.61,1.0,0.98,0.01,0.26,0.02,0.07,0.19,0.11,0.08,0.05,0.18,0.12,0.13,0.12,0.06,0.12,0.0,0.17,0.16,0.1,0.01,,,,,,,,,,,,,,,,,,
268,EST,2004,Estonia,Europe and Central Asia,ECS,hbs,Young worker,221773,0.0,1.0,0.0,0.0,0.45,1.0,0.31,0.16,0.15,85076.77,0.38,0.34,0.07,0.32,,0.82,0.18,0.82,0.18,0.94,0.04,0.01,,,,,,,0.04,0.34,0.62,1.0,0.96,0.0,0.21,0.03,0.1,0.28,0.06,0.09,0.03,0.16,0.03,0.1,0.12,0.09,0.23,0.03,0.2,0.11,0.09,0.01,,,,,,,,,,,,,,,,,,
269,ETH,2015,Ethiopia,Sub-Saharan Africa,SSF,hices,Female,45209606,0.43,0.19,0.35,0.04,0.2,0.53,0.42,0.38,0.04,16632775.44,0.69,0.69,0.43,0.68,,0.98,0.02,0.96,0.04,0.11,0.88,0.0,,,,,,0.04,0.67,0.06,0.26,0.33,0.37,0.06,0.0,0.0,0.01,0.1,0.02,0.01,0.0,0.14,0.0,0.02,0.02,0.01,0.11,0.53,0.05,0.0,0.26,0.0,,,,,,,,,,,,,,,0.02,0.63,0.3,0.04
270,ETH,2015,Ethiopia,Sub-Saharan Africa,SSF,hices,Higher education,53080847,0.42,0.12,0.4,0.06,0.19,0.52,0.42,0.38,0.04,21919319.62,0.8,0.73,0.36,0.78,,0.98,0.02,0.94,0.06,0.15,0.83,0.01,,,,,,0.08,0.7,0.06,0.24,0.32,0.37,0.04,0.0,0.0,0.02,0.08,0.01,0.01,0.0,0.13,0.0,0.04,0.04,0.01,0.08,0.59,0.04,0.01,0.18,0.0,,,,,,,,,,,,,,,0.0,0.0,0.82,0.18
271,ETH,2015,Ethiopia,Sub-Saharan Africa,SSF,hices,Lower education,36371238,0.48,0.28,0.23,0.01,0.2,0.51,0.42,0.38,0.04,13710806.25,0.74,0.63,0.39,0.73,,0.99,0.01,0.98,0.02,0.09,0.9,0.01,,,,,,0.01,0.74,0.06,0.2,0.35,0.23,0.03,0.0,0.0,0.02,0.09,0.02,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.1,0.64,0.04,0.01,0.21,0.0,,,,,,,,,,,,,,,0.02,0.84,0.14,0.0
272,ETH,2015,Ethiopia,Sub-Saharan Africa,SSF,hices,Male,44242479,0.46,0.18,0.32,0.04,0.18,0.5,0.42,0.38,0.04,18997350.43,0.86,,0.32,0.85,,0.98,0.02,0.97,0.03,0.15,0.84,0.01,,,,,,0.06,0.75,0.06,0.19,,0.21,0.02,0.0,0.0,0.03,0.07,0.01,0.01,0.0,0.09,0.0,0.03,0.03,0.0,0.06,0.68,0.03,0.02,0.13,0.0,,,,,,,,,,,,,,,0.01,0.66,0.29,0.04
273,ETH,2015,Ethiopia,Sub-Saharan Africa,SSF,hices,Old worker,29623504,0.0,0.0,1.0,0.0,0.22,1.0,0.42,0.38,0.04,25328360.43,0.86,0.76,,0.85,,0.99,0.01,,,0.13,0.86,0.01,,,,,,0.06,0.72,0.06,0.22,0.31,,0.04,0.0,0.0,0.02,0.09,0.01,0.01,0.0,0.11,0.0,0.03,0.03,0.0,0.09,0.64,0.04,0.01,0.15,0.0,,,,,,,,,,,,,,,0.02,0.68,0.24,0.06
274,ETH,2015,Ethiopia,Sub-Saharan Africa,SSF,hices,Rural,72394512,0.47,0.17,0.32,0.04,0.0,0.49,0.42,0.38,0.04,28380887.68,0.81,0.73,0.32,0.8,,0.99,0.01,0.99,0.01,0.05,0.94,0.01,,,,,,0.02,0.86,0.03,0.11,0.19,0.16,0.03,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.04,0.74,0.03,0.0,0.18,0.0,,,,,,,,,,,,,,,0.02,0.75,0.21,0.01
275,ETH,2015,Ethiopia,Sub-Saharan Africa,SSF,hices,Total,89452085,0.44,0.19,0.33,0.04,0.19,0.52,0.93,0.86,0.07,35630125.87,0.77,0.69,0.38,0.76,,0.98,0.02,0.97,0.03,0.13,0.86,0.01,,,,,,0.05,0.72,0.06,0.22,0.33,0.29,0.04,0.0,0.0,0.02,0.09,0.01,0.01,0.0,0.11,0.0,0.03,0.03,0.0,0.09,0.61,0.04,0.01,0.19,0.0,,,,,,,,,,,,,,,0.02,0.65,0.29,0.04
276,ETH,2015,Ethiopia,Sub-Saharan Africa,SSF,hices,Urban,17057573,0.32,0.25,0.39,0.04,1.0,0.64,0.42,0.38,0.04,7249238.19,0.67,0.57,0.53,0.63,,0.93,0.07,0.87,0.13,0.48,0.5,0.01,,,,,,0.21,0.1,0.18,0.72,0.93,0.9,0.09,0.01,0.01,0.07,0.28,0.05,0.04,0.0,0.35,0.01,0.12,0.09,0.02,0.29,0.07,0.1,0.04,0.25,0.01,,,,,,,,,,,,,,,0.01,0.4,0.48,0.11
277,ETH,2015,Ethiopia,Sub-Saharan Africa,SSF,hices,Young worker,16696110,0.0,1.0,0.0,0.0,0.26,1.0,0.42,0.38,0.04,10301765.44,0.62,0.57,0.38,0.6,,0.97,0.03,0.97,0.03,0.14,0.85,0.0,,,,,,0.03,0.71,0.05,0.24,0.37,0.29,0.03,0.0,0.0,0.02,0.08,0.02,0.01,0.0,0.14,0.0,0.01,0.02,0.0,0.09,0.54,0.03,0.01,0.3,0.0,,,,,,,,,,,,,,,0.01,0.63,0.34,0.02
278,FJI,2008,Fiji,East Asia and Pacific,EAS,hies,Female,412692,0.28,0.18,0.48,0.06,0.52,0.66,0.35,0.3,0.05,92204.43,0.34,0.34,0.28,0.29,,0.86,0.14,0.64,0.36,0.75,0.24,0.01,,,,,,,0.11,0.14,0.74,0.89,0.89,0.0,0.13,0.0,0.01,0.32,0.03,0.07,0.25,0.08,0.0,0.04,0.21,0.17,0.21,0.08,0.06,0.05,0.18,0.0,,,,,,,,,,,,,,,,,,
279,FJI,2008,Fiji,East Asia and Pacific,EAS,hies,Higher education,833132,0.29,0.19,0.47,0.05,0.51,0.66,0.35,0.3,0.05,298532.59,0.55,0.34,0.19,0.49,,0.9,0.1,0.74,0.26,0.7,0.28,0.02,,,,,,,0.25,0.18,0.57,0.89,0.73,0.0,0.1,0.01,0.06,0.22,0.08,0.05,0.2,0.03,0.01,0.04,0.16,0.08,0.14,0.19,0.11,0.09,0.18,0.0,,,,,,,,,,,,,,,,,,
280,FJI,2008,Fiji,East Asia and Pacific,EAS,hies,Male,420441,0.3,0.19,0.46,0.04,0.49,0.65,0.35,0.3,0.05,206328.16,0.75,,0.11,0.69,,0.92,0.08,0.79,0.21,0.68,0.3,0.02,,,,,,,0.31,0.19,0.5,,0.66,0.01,0.09,0.01,0.08,0.17,0.1,0.04,0.18,0.01,0.02,0.04,0.13,0.05,0.12,0.23,0.12,0.11,0.18,0.0,,,,,,,,,,,,,,,,,,
281,FJI,2008,Fiji,East Asia and Pacific,EAS,hies,Old worker,390471,0.0,0.0,1.0,0.0,0.52,1.0,0.35,0.3,0.05,244903.8,0.63,0.38,,0.59,,0.94,0.06,,,0.69,0.29,0.02,,,,,,,0.25,0.17,0.58,0.89,,0.0,0.1,0.01,0.06,0.2,0.09,0.05,0.21,0.03,0.01,0.05,0.16,0.07,0.14,0.19,0.1,0.1,0.18,0.0,,,,,,,,,,,,,,,,,,
282,FJI,2008,Fiji,East Asia and Pacific,EAS,hies,Rural,412368,0.32,0.17,0.45,0.06,0.0,0.63,0.35,0.3,0.05,133989.32,0.52,0.27,0.26,0.48,,0.92,0.08,0.8,0.2,0.51,0.48,0.01,,,,,,,0.5,0.13,0.37,0.72,0.49,0.01,0.06,0.01,0.05,0.18,0.04,0.01,0.11,0.02,0.01,0.01,0.07,0.03,0.1,0.37,0.09,0.08,0.23,0.0,,,,,,,,,,,,,,,,,,
283,FJI,2008,Fiji,East Asia and Pacific,EAS,hies,Total,833132,0.29,0.19,0.47,0.05,0.51,0.66,0.52,0.45,0.08,298532.59,0.55,0.34,0.19,0.49,,0.9,0.1,0.74,0.26,0.7,0.28,0.02,,,,,,,0.25,0.18,0.57,0.89,0.73,0.0,0.1,0.01,0.06,0.22,0.08,0.05,0.2,0.03,0.01,0.04,0.16,0.08,0.14,0.19,0.11,0.09,0.18,0.0,,,,,,,,,,,,,,,,,,
284,FJI,2008,Fiji,East Asia and Pacific,EAS,hies,Urban,420764,0.27,0.2,0.48,0.04,1.0,0.69,0.35,0.3,0.05,164543.27,0.57,0.4,0.14,0.5,,0.88,0.12,0.68,0.32,0.86,0.11,0.03,,,,,,,0.04,0.22,0.74,0.98,0.96,0.0,0.14,0.01,0.07,0.24,0.11,0.07,0.27,0.04,0.02,0.07,0.23,0.12,0.18,0.03,0.12,0.1,0.14,0.0,,,,,,,,,,,,,,,,,,
285,FJI,2008,Fiji,East Asia and Pacific,EAS,hies,Young worker,156529,0.0,1.0,0.0,0.0,0.54,1.0,0.35,0.3,0.05,53628.79,0.34,0.24,0.19,0.25,,0.74,0.26,0.74,0.26,0.77,0.23,0.0,,,,,,,0.27,0.21,0.52,0.89,0.73,0.0,0.11,0.01,0.09,0.3,0.04,0.04,0.12,0.01,0.01,0.01,0.12,0.12,0.19,0.18,0.13,0.04,0.21,0.0,,,,,,,,,,,,,,,,,,
286,GAB,2005,Gabon,Sub-Saharan Africa,SSF,egep,Female,666739,0.37,0.22,0.36,0.05,0.8,0.58,0.44,0.39,0.05,214387.48,0.56,0.56,0.2,0.43,,0.78,0.22,0.54,0.46,0.46,0.53,0.01,,,,,,0.15,0.34,0.14,0.52,0.66,0.71,0.0,0.01,0.11,0.01,0.25,0.01,0.0,0.26,0.0,,,,,,,,,,,45.0,0.16,0.25,578.7,652.08,,75000.0,84509.84,,12500.0,175000.0,75000.0,,1.4,0.11,0.14,0.7,0.04
287,GAB,2005,Gabon,Sub-Saharan Africa,SSF,egep,Higher education,726799,0.3,0.26,0.43,0.0,0.86,0.7,0.44,0.39,0.05,306147.58,0.6,0.52,0.13,0.5,,0.83,0.17,0.6,0.4,0.71,0.28,0.01,,,,,,0.25,0.13,0.28,0.6,0.87,0.85,0.02,0.06,0.13,0.06,0.19,0.06,0.0,0.36,0.0,,,,,,,,,,,45.0,0.11,0.3,810.19,912.92,,175000.0,197189.66,,125000.0,175000.0,125000.0,0.6,1.4,0.0,0.0,0.9,0.1
288,GAB,2005,Gabon,Sub-Saharan Africa,SSF,egep,Lower education,585667,0.47,0.15,0.3,0.08,0.73,0.45,0.44,0.39,0.05,170200.04,0.65,0.61,0.24,0.56,,0.85,0.15,0.64,0.36,0.34,0.66,0.01,,,,,,0.04,0.45,0.1,0.45,0.41,0.59,0.01,0.03,0.01,0.04,0.23,0.04,0.0,0.18,0.0,,,,,,,,,,,45.0,0.15,0.35,385.8,434.72,,75000.0,84509.84,,37500.0,75000.0,75000.0,0.6,1.4,0.26,0.35,0.39,0.0
289,GAB,2005,Gabon,Sub-Saharan Africa,SSF,egep,Male,645727,0.38,0.2,0.39,0.03,0.8,0.59,0.44,0.39,0.05,261960.14,0.69,,0.11,0.61,,0.88,0.12,0.69,0.31,0.65,0.33,0.01,,,,,,0.18,0.18,0.26,0.56,,0.76,0.02,0.07,0.07,0.09,0.17,0.08,0.0,0.31,0.0,,,,,,,,,,,45.0,0.1,0.36,694.44,782.5,,125000.0,140849.75,,125000.0,175000.0,125000.0,,1.4,0.08,0.12,0.72,0.08
290,GAB,2005,Gabon,Sub-Saharan Africa,SSF,egep,Old worker,490221,0.0,0.0,1.0,0.0,0.81,1.0,0.44,0.39,0.05,406785.47,0.83,0.76,,0.73,,0.87,0.13,,,0.57,0.42,0.01,,,,,,0.18,0.25,0.22,0.54,0.65,,0.02,0.05,0.1,0.05,0.2,0.05,0.0,0.29,0.0,,,,,,,,,,,45.0,0.12,0.31,694.44,782.5,,125000.0,140849.75,,125000.0,175000.0,125000.0,0.6,1.4,0.14,0.11,0.67,0.08
291,GAB,2005,Gabon,Sub-Saharan Africa,SSF,egep,Rural,260629,0.38,0.16,0.36,0.1,0.0,0.52,0.44,0.39,0.05,93231.82,0.69,0.67,0.22,0.64,,0.93,0.07,0.77,0.23,0.27,0.72,0.0,,,,,,0.08,0.7,0.11,0.19,0.2,0.28,0.01,0.04,0.04,0.02,0.09,0.02,0.0,0.08,0.0,,,,,,,,,,,45.0,0.16,0.28,476.19,536.57,,75000.0,84509.84,,75000.0,125000.0,125000.0,0.6,1.4,0.17,0.22,0.59,0.02
292,GAB,2005,Gabon,Sub-Saharan Africa,SSF,egep,Total,1312467,0.38,0.21,0.37,0.04,0.8,0.59,0.71,0.64,0.07,476347.62,0.62,0.56,0.16,0.52,,0.84,0.16,0.62,0.38,0.57,0.42,0.01,,,,,,0.17,0.25,0.21,0.54,0.66,0.74,0.01,0.05,0.09,0.06,0.2,0.05,0.0,0.29,0.0,,,,,,,,,,,45.0,0.12,0.32,694.44,782.5,,125000.0,140849.75,,75000.0,175000.0,125000.0,0.6,1.4,0.1,0.13,0.71,0.06
293,GAB,2005,Gabon,Sub-Saharan Africa,SSF,egep,Urban,1051837,0.37,0.23,0.38,0.02,1.0,0.6,0.44,0.39,0.05,383115.79,0.61,0.53,0.15,0.49,,0.81,0.19,0.58,0.42,0.66,0.33,0.01,,,,,,0.19,0.12,0.24,0.64,0.83,0.87,0.02,0.05,0.1,0.07,0.23,0.06,0.0,0.35,0.0,,,,,,,,,,,45.0,0.11,0.32,694.44,782.5,,125000.0,140849.75,,175000.0,175000.0,125000.0,0.6,1.4,0.08,0.11,0.74,0.07
294,GEO,2013,Georgia,Europe and Central Asia,ECS,his,Female,1958545,0.16,0.14,0.53,0.18,0.59,0.66,0.34,0.17,0.16,754075.49,0.61,0.61,0.73,0.52,0.08,0.85,0.15,0.62,0.38,0.47,0.5,0.01,,,,0.91,,0.2,0.44,0.05,0.5,0.56,0.62,0.0,0.04,0.01,0.0,0.13,0.02,0.04,0.3,0.02,0.03,0.19,0.11,0.03,0.14,0.44,0.02,0.0,0.04,0.0,30.0,0.73,0.27,1.16,1.08,1.44,167.88,157.9,209.82,63.56,150.85,171.29,,1.09,0.0,0.0,0.15,0.85
295,GEO,2013,Georgia,Europe and Central Asia,ECS,his,Higher education,3594162,0.18,0.14,0.53,0.14,0.58,0.68,0.34,0.17,0.16,1633997.64,0.71,0.62,0.59,0.6,0.08,0.84,0.16,0.64,0.36,0.46,0.5,0.01,,,,0.89,,0.17,0.42,0.12,0.47,0.56,0.56,0.01,0.06,0.02,0.04,0.14,0.06,0.04,0.22,0.01,0.05,0.14,0.1,0.02,0.12,0.4,0.06,0.05,0.05,0.0,30.0,0.67,0.33,1.05,0.98,1.32,171.98,161.19,214.94,74.05,154.43,179.94,0.93,1.09,0.0,0.0,0.13,0.87
296,GEO,2013,Georgia,Europe and Central Asia,ECS,his,Lower education,104074,0.0,0.18,0.22,0.59,0.21,0.41,0.34,0.17,0.16,16412.17,0.52,0.51,0.79,0.46,0.05,0.89,0.11,0.75,0.25,0.16,0.84,0.0,,,,0.89,,0.09,0.8,0.01,0.18,0.18,0.0,0.0,0.0,0.0,0.01,0.07,0.03,0.0,0.07,0.02,0.01,0.0,0.0,0.0,0.04,0.77,0.01,0.02,0.14,0.0,30.0,0.81,0.19,0.3,0.28,0.38,40.75,38.1,50.93,24.27,140.92,51.65,0.93,1.09,0.15,0.1,0.75,0.0
297,GEO,2013,Georgia,Europe and Central Asia,ECS,his,Male,1739692,0.2,0.15,0.52,0.13,0.55,0.67,0.34,0.17,0.16,896334.33,0.82,,0.47,0.68,0.07,0.83,0.17,0.66,0.34,0.44,0.5,0.02,,,,0.88,,0.14,0.4,0.17,0.43,,0.52,0.01,0.07,0.02,0.07,0.15,0.09,0.04,0.14,0.0,0.06,0.09,0.08,0.01,0.1,0.38,0.1,0.1,0.06,0.0,30.0,0.62,0.38,0.98,0.92,1.22,174.16,163.01,217.67,71.81,154.72,194.29,,1.09,0.0,0.0,0.15,0.84
